Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Lotus,FunPlus Phoenix,$$ (won),6,3
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Lotus,FunPlus Phoenix,$$$ (won),12,6
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,All Maps,Karmine Corp,Pistol Won,,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,All Maps,Karmine Corp,Eco (won),6,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,All Maps,Karmine Corp,$ (won),2,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,All Maps,Karmine Corp,$$ (won),9,4
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,All Maps,Karmine Corp,$$$ (won),27,19
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,All Maps,FunPlus Phoenix,Pistol Won,,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,All Maps,FunPlus Phoenix,Eco (won),6,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,All Maps,FunPlus Phoenix,$ (won),3,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,All Maps,FunPlus Phoenix,$$ (won),14,6
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,All Maps,FunPlus Phoenix,$$$ (won),21,10
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Icebox,Gen.G,Pistol Won,,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Icebox,Gen.G,Eco (won),2,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Icebox,Gen.G,$ (won),2,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Icebox,Gen.G,$$ (won),7,5
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Icebox,Gen.G,$$$ (won),13,6
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Icebox,LOUD,Pistol Won,,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Icebox,LOUD,Eco (won),3,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Icebox,LOUD,$ (won),1,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Icebox,LOUD,$$ (won),5,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Icebox,LOUD,$$$ (won),15,8
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Breeze,Gen.G,Pistol Won,,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Breeze,Gen.G,Eco (won),4,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Breeze,Gen.G,$ (won),1,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Breeze,Gen.G,$$ (won),4,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Breeze,Gen.G,$$$ (won),12,5
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Breeze,LOUD,Pistol Won,,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Breeze,LOUD,Eco (won),3,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Breeze,LOUD,$ (won),0,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Breeze,LOUD,$$ (won),6,4
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Breeze,LOUD,$$$ (won),12,7
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Ascent,Gen.G,Pistol Won,,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Ascent,Gen.G,Eco (won),3,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Ascent,Gen.G,$ (won),1,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Ascent,Gen.G,$$ (won),3,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Ascent,Gen.G,$$$ (won),11,10
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Ascent,LOUD,Pistol Won,,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Ascent,LOUD,Eco (won),3,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Ascent,LOUD,$ (won),1,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Ascent,LOUD,$$ (won),4,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Ascent,LOUD,$$$ (won),10,3
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,All Maps,Gen.G,Pistol Won,,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,All Maps,Gen.G,Eco (won),9,3
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,All Maps,Gen.G,$ (won),4,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,All Maps,Gen.G,$$ (won),14,9
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,All Maps,Gen.G,$$$ (won),36,21
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,All Maps,LOUD,Pistol Won,,4
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,All Maps,LOUD,Eco (won),9,4
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,All Maps,LOUD,$ (won),2,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,All Maps,LOUD,$$ (won),15,7
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,All Maps,LOUD,$$$ (won),37,18
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Sunset,EDward Gaming,Pistol Won,,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Sunset,EDward Gaming,Eco (won),3,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Sunset,EDward Gaming,$ (won),1,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Sunset,EDward Gaming,$$ (won),6,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Sunset,EDward Gaming,$$$ (won),11,5
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Sunset,Paper Rex,Pistol Won,,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Sunset,Paper Rex,Eco (won),3,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Sunset,Paper Rex,$ (won),0,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Sunset,Paper Rex,$$ (won),5,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Sunset,Paper Rex,$$$ (won),13,10
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Bind,EDward Gaming,Pistol Won,,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Bind,EDward Gaming,Eco (won),4,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Bind,EDward Gaming,$ (won),2,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Bind,EDward Gaming,$$ (won),2,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Bind,EDward Gaming,$$$ (won),14,10
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Bind,Paper Rex,Pistol Won,,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Bind,Paper Rex,Eco (won),2,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Bind,Paper Rex,$ (won),1,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Bind,Paper Rex,$$ (won),8,4
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Bind,Paper Rex,$$$ (won),11,3
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Split,EDward Gaming,Pistol Won,,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Split,EDward Gaming,Eco (won),3,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Split,EDward Gaming,$ (won),1,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Split,EDward Gaming,$$ (won),3,3
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Split,EDward Gaming,$$$ (won),15,8
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Split,Paper Rex,Pistol Won,,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Split,Paper Rex,Eco (won),3,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Split,Paper Rex,$ (won),3,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Split,Paper Rex,$$ (won),8,5
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Split,Paper Rex,$$$ (won),8,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,All Maps,EDward Gaming,Pistol Won,,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,All Maps,EDward Gaming,Eco (won),10,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,All Maps,EDward Gaming,$ (won),4,3
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,All Maps,EDward Gaming,$$ (won),11,6
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,All Maps,EDward Gaming,$$$ (won),40,23
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,All Maps,Paper Rex,Pistol Won,,4
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,All Maps,Paper Rex,Eco (won),8,4
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,All Maps,Paper Rex,$ (won),4,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,All Maps,Paper Rex,$$ (won),21,11
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,All Maps,Paper Rex,$$$ (won),32,15
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Lotus,Sentinels,Pistol Won,,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Lotus,Sentinels,Eco (won),4,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Lotus,Sentinels,$ (won),1,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Lotus,Sentinels,$$ (won),7,3
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Lotus,Sentinels,$$$ (won),10,8
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Lotus,Team Heretics,Pistol Won,,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Lotus,Team Heretics,Eco (won),4,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Lotus,Team Heretics,$ (won),2,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Lotus,Team Heretics,$$ (won),4,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Lotus,Team Heretics,$$$ (won),12,8
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Sunset,Sentinels,Pistol Won,,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Sunset,Sentinels,Eco (won),4,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Sunset,Sentinels,$ (won),1,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Sunset,Sentinels,$$ (won),10,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Sunset,Sentinels,$$$ (won),3,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Sunset,Team Heretics,Pistol Won,,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Sunset,Team Heretics,Eco (won),2,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Sunset,Team Heretics,$ (won),0,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Sunset,Team Heretics,$$ (won),5,3
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Sunset,Team Heretics,$$$ (won),11,8
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Bind,Sentinels,Pistol Won,,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Bind,Sentinels,Eco (won),3,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Bind,Sentinels,$ (won),1,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Bind,Sentinels,$$ (won),7,4
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Bind,Sentinels,$$$ (won),13,8
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Bind,Team Heretics,Pistol Won,,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Bind,Team Heretics,Eco (won),3,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Bind,Team Heretics,$ (won),0,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Bind,Team Heretics,$$ (won),7,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Bind,Team Heretics,$$$ (won),14,8
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,All Maps,Sentinels,Pistol Won,,3
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,All Maps,Sentinels,Eco (won),11,4
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,All Maps,Sentinels,$ (won),3,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,All Maps,Sentinels,$$ (won),24,9
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,All Maps,Sentinels,$$$ (won),26,18
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,All Maps,Team Heretics,Pistol Won,,3
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,All Maps,Team Heretics,Eco (won),9,4
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,All Maps,Team Heretics,$ (won),2,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,All Maps,Team Heretics,$$ (won),16,5
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,All Maps,Team Heretics,$$$ (won),37,24
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Split,Sentinels,Pistol Won,,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Split,Sentinels,Eco (won),3,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Split,Sentinels,$ (won),0,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Split,Sentinels,$$ (won),2,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Split,Sentinels,$$$ (won),16,11
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Split,Karmine Corp,Pistol Won,,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Split,Karmine Corp,Eco (won),3,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Split,Karmine Corp,$ (won),1,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Split,Karmine Corp,$$ (won),7,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Split,Karmine Corp,$$$ (won),10,5
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Lotus,Sentinels,Pistol Won,,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Lotus,Sentinels,Eco (won),3,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Lotus,Sentinels,$ (won),1,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Lotus,Sentinels,$$ (won),6,4
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Lotus,Sentinels,$$$ (won),14,7
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Lotus,Karmine Corp,Pistol Won,,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Lotus,Karmine Corp,Eco (won),3,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Lotus,Karmine Corp,$ (won),0,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Lotus,Karmine Corp,$$ (won),7,4
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Lotus,Karmine Corp,$$$ (won),14,6
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,All Maps,Sentinels,Pistol Won,,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,All Maps,Sentinels,Eco (won),6,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,All Maps,Sentinels,$ (won),1,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,All Maps,Sentinels,$$ (won),8,5
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,All Maps,Sentinels,$$$ (won),30,18
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,All Maps,Karmine Corp,Pistol Won,,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,All Maps,Karmine Corp,Eco (won),6,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,All Maps,Karmine Corp,$ (won),1,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,All Maps,Karmine Corp,$$ (won),14,6
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,All Maps,Karmine Corp,$$$ (won),24,11
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Icebox,EDward Gaming,Pistol Won,,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Icebox,EDward Gaming,Eco (won),3,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Icebox,EDward Gaming,$ (won),0,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Icebox,EDward Gaming,$$ (won),2,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Icebox,EDward Gaming,$$$ (won),16,10
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Icebox,Gen.G,Pistol Won,,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Icebox,Gen.G,Eco (won),3,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Icebox,Gen.G,$ (won),3,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Icebox,Gen.G,$$ (won),6,3
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Icebox,Gen.G,$$$ (won),9,4
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Split,EDward Gaming,Pistol Won,,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Split,EDward Gaming,Eco (won),3,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Split,EDward Gaming,$ (won),1,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Split,EDward Gaming,$$ (won),6,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Split,EDward Gaming,$$$ (won),8,2
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Split,Gen.G,Pistol Won,,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Split,Gen.G,Eco (won),3,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Split,Gen.G,$ (won),0,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Split,Gen.G,$$ (won),4,3
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Split,Gen.G,$$$ (won),11,9
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Breeze,EDward Gaming,Pistol Won,,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Breeze,EDward Gaming,Eco (won),3,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Breeze,EDward Gaming,$ (won),3,0
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Breeze,EDward Gaming,$$ (won),3,1
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Breeze,EDward Gaming,$$$ (won),10,4
