Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Gen.G vs Sentinels,Lotus,Gen.G,7,5,2,,Sentinels,13,6,7,,48:49
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Gen.G vs Sentinels,Breeze,Gen.G,13,9,4,,Sentinels,3,0,3,,34:04
Champions Tour 2024: Masters Madrid,Playoffs,Lower Round 1,Paper Rex vs LOUD,Ascent,Paper Rex,13,6,7,,LOUD,11,5,6,,1:00:58
Champions Tour 2024: Masters Madrid,Playoffs,Lower Round 1,Paper Rex vs LOUD,Sunset,Paper Rex,13,7,6,,LOUD,8,3,5,,46:09
Champions Tour 2024: Masters Madrid,Playoffs,Lower Final,Sentinels vs Paper Rex,Lotus,Sentinels,14,6,6,2,Paper Rex,12,6,6,0,1:12:27
Champions Tour 2024: Masters Madrid,Playoffs,Lower Final,Sentinels vs Paper Rex,Ascent,Sentinels,13,6,7,,Paper Rex,6,0,6,,41:11
Champions Tour 2024: Masters Madrid,Playoffs,Lower Final,Sentinels vs Paper Rex,Split,Sentinels,5,4,1,,Paper Rex,13,5,8,,38:13
Champions Tour 2024: Masters Madrid,Playoffs,Lower Final,Sentinels vs Paper Rex,Sunset,Sentinels,13,9,4,,Paper Rex,3,0,3,,33:56
Champions Tour 2024: Masters Madrid,Playoffs,Grand Final,Gen.G vs Sentinels,Breeze,Gen.G,13,7,6,,Sentinels,8,3,5,,1:03:12
Champions Tour 2024: Masters Madrid,Playoffs,Grand Final,Gen.G vs Sentinels,Bind,Gen.G,12,6,6,0,Sentinels,14,6,6,2,1:04:16
Champions Tour 2024: Masters Madrid,Playoffs,Grand Final,Gen.G vs Sentinels,Ascent,Gen.G,13,6,7,,Sentinels,8,2,6,,46:25
Champions Tour 2024: Masters Madrid,Playoffs,Grand Final,Gen.G vs Sentinels,Split,Gen.G,10,4,6,,Sentinels,13,5,8,,49:51
Champions Tour 2024: Masters Madrid,Playoffs,Grand Final,Gen.G vs Sentinels,Icebox,Gen.G,6,5,1,,Sentinels,13,6,7,,42:05
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),NRG Esports vs FURIA,Breeze,NRG Esports,13,8,5,,FURIA,10,6,4,,55:08
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),NRG Esports vs FURIA,Ascent,NRG Esports,13,6,7,,FURIA,8,2,6,,48:14
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Cloud9 vs MIBR,Bind,Cloud9,13,5,8,,MIBR,11,4,7,,1:06:54
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Cloud9 vs MIBR,Split,Cloud9,8,6,2,,MIBR,13,7,6,,47:29
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Cloud9 vs MIBR,Lotus,Cloud9,13,5,8,,MIBR,10,3,7,,57:07
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),LOUD vs Sentinels,Split,LOUD,13,4,9,,Sentinels,11,3,8,,1:12:09
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),LOUD vs Sentinels,Ascent,LOUD,13,5,8,,Sentinels,9,2,7,,51:45
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Leviatán vs 100 Thieves,Bind,Leviatán,13,7,6,,100 Thieves,9,4,5,,1:03:18
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Leviatán vs 100 Thieves,Split,Leviatán,3,3,0,,100 Thieves,13,4,9,,36:37
