Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result
Champions Tour 2024: China Kickoff,Group Stage,Winner's (C),Wolves Esports vs EDward Gaming,Wolves Esports,EDward Gaming,1,2,EDward Gaming won
Champions Tour 2024: China Kickoff,Group Stage,Decider (A),Trace Esports vs Nova Esports,Trace Esports,Nova Esports,2,0,Trace Esports won
Champions Tour 2024: China Kickoff,Group Stage,Decider (B),Titan Esports Club vs JD Gaming,Titan Esports Club,JD Gaming,2,1,Titan Esports Club won
Champions Tour 2024: China Kickoff,Group Stage,Decider (C),Wolves Esports vs Bilibili Gaming,Wolves Esports,Bilibili Gaming,0,2,Bilibili Gaming won
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Trace Esports vs Titan Esports Club,Trace Esports,Titan Esports Club,2,1,Trace Esports won
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Bilibili Gaming vs Titan Esports Club,Bilibili Gaming,Titan Esports Club,2,0,Bilibili Gaming won
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Bilibili Gaming vs Trace Esports,Bilibili Gaming,Trace Esports,1,2,Trace Esports won
Champions Tour 2024: China Kickoff,Playoffs,Semifinals,FunPlus Phoenix vs Dragon Ranger Gaming,FunPlus Phoenix,Dragon Ranger Gaming,2,0,FunPlus Phoenix won
Champions Tour 2024: China Kickoff,Playoffs,Semifinals,EDward Gaming vs Trace Esports,EDward Gaming,Trace Esports,2,0,EDward Gaming won
Champions Tour 2024: China Kickoff,Playoffs,Grand Final,FunPlus Phoenix vs EDward Gaming,FunPlus Phoenix,EDward Gaming,1,3,EDward Gaming won
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),FUT Esports vs Team Heretics,FUT Esports,Team Heretics,0,2,Team Heretics won
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),GIANTX vs Karmine Corp,GIANTX,Karmine Corp,1,2,Karmine Corp won
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Natus Vincere vs BBL Esports,Natus Vincere,BBL Esports,2,1,Natus Vincere won
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Team Liquid vs KOI,Team Liquid,KOI,2,0,Team Liquid won
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (C),Team Vitality vs Gentle Mates,Team Vitality,Gentle Mates,2,0,Team Vitality won
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (A),Team Heretics vs Karmine Corp,Team Heretics,Karmine Corp,2,0,Team Heretics won
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (A),FUT Esports vs GIANTX,FUT Esports,GIANTX,2,1,FUT Esports won
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (B),Natus Vincere vs Team Liquid,Natus Vincere,Team Liquid,2,0,Natus Vincere won
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (B),BBL Esports vs KOI,BBL Esports,KOI,0,2,KOI won
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (C),Team Vitality vs FNATIC,Team Vitality,FNATIC,0,2,FNATIC won
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (C),Team Vitality vs Gentle Mates,Team Vitality,Gentle Mates,2,1,Team Vitality won
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (A),Karmine Corp vs FUT Esports,Karmine Corp,FUT Esports,2,1,Karmine Corp won
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (B),Team Liquid vs KOI,Team Liquid,KOI,1,2,KOI won
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,Karmine Corp vs Team Vitality,Karmine Corp,Team Vitality,2,0,Karmine Corp won
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,KOI vs Team Vitality,KOI,Team Vitality,0,2,Team Vitality won
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,Karmine Corp vs KOI,Karmine Corp,KOI,2,0,Karmine Corp won
Champions Tour 2024: EMEA Kickoff,Playoffs,Semifinals,Team Heretics vs Natus Vincere,Team Heretics,Natus Vincere,2,0,Team Heretics won
Champions Tour 2024: EMEA Kickoff,Playoffs,Semifinals,FNATIC vs Karmine Corp,FNATIC,Karmine Corp,0,2,Karmine Corp won
Champions Tour 2024: EMEA Kickoff,Playoffs,Grand Final,Team Heretics vs Karmine Corp,Team Heretics,Karmine Corp,1,3,Karmine Corp won
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (A),T1 vs BLEED,T1,BLEED,2,0,T1 won
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (C),Gen.G vs Rex Regum Qeon,Gen.G,Rex Regum Qeon,2,1,Gen.G won
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (A),ZETA DIVISION vs Global Esports,ZETA DIVISION,Global Esports,2,0,ZETA DIVISION won
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (B),Team Secret vs Talon Esports,Team Secret,Talon Esports,0,2,Talon Esports won
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (B),DRX vs DetonatioN FocusMe,DRX,DetonatioN FocusMe,2,0,DRX won
Champions Tour 2024: Pacific Kickoff,Group Stage,Winner's (C),Gen.G vs Paper Rex,Gen.G,Paper Rex,1,2,Paper Rex won
Champions Tour 2024: Pacific Kickoff,Group Stage,Elimination (A),BLEED vs Global Esports,BLEED,Global Esports,1,2,Global Esports won
Champions Tour 2024: Pacific Kickoff,Group Stage,Winner's (A),T1 vs ZETA DIVISION,T1,ZETA DIVISION,2,1,T1 won
Champions Tour 2024: Pacific Kickoff,Group Stage,Elimination (B),DetonatioN FocusMe vs Team Secret,DetonatioN FocusMe,Team Secret,0,2,Team Secret won
