Tournament,Stage,Match Type,Map,Total Maps Played,Attacker Side Win Percentage,Defender Side Win Percentage
Champions Tour 2024: Pacific Kickoff,Group Stage,Winner's (B),Split,1,61%,39%
Champions Tour 2024: Pacific Kickoff,Group Stage,Winner's (B),Ascent,1,62%,38%
Champions Tour 2024: Pacific Kickoff,Group Stage,Elimination (B),All Maps,2,55%,45%
Champions Tour 2024: Pacific Kickoff,Group Stage,Elimination (B),Lotus,1,65%,35%
Champions Tour 2024: Pacific Kickoff,Group Stage,Elimination (B),Breeze,1,46%,54%
Champions Tour 2024: Pacific Kickoff,Group Stage,Decider (B),All Maps,2,59%,41%
Champions Tour 2024: Pacific Kickoff,Group Stage,Decider (B),Ascent,1,75%,25%
Champions Tour 2024: Pacific Kickoff,Group Stage,Decider (B),Breeze,1,43%,57%
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (A),All Maps,4,56%,44%
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (A),Bind,1,48%,52%
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (A),Breeze,1,50%,50%
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (A),Icebox,1,65%,35%
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (A),Lotus,1,63%,37%
Champions Tour 2024: Pacific Kickoff,Group Stage,Winner's (A),All Maps,3,48%,52%
Champions Tour 2024: Pacific Kickoff,Group Stage,Winner's (A),Lotus,1,41%,59%
Champions Tour 2024: Pacific Kickoff,Group Stage,Winner's (A),Ascent,1,54%,46%
Champions Tour 2024: Pacific Kickoff,Group Stage,Winner's (A),Sunset,1,45%,55%
Champions Tour 2024: Pacific Kickoff,Group Stage,Elimination (A),All Maps,3,62%,38%
Champions Tour 2024: Pacific Kickoff,Group Stage,Elimination (A),Split,1,63%,38%
Champions Tour 2024: Pacific Kickoff,Group Stage,Elimination (A),Icebox,1,74%,26%
Champions Tour 2024: Pacific Kickoff,Group Stage,Elimination (A),Sunset,1,50%,50%
Champions Tour 2024: Pacific Kickoff,Group Stage,Decider (A),All Maps,2,49%,51%
Champions Tour 2024: Pacific Kickoff,Group Stage,Decider (A),Lotus,1,56%,44%
Champions Tour 2024: Pacific Kickoff,Group Stage,Decider (A),Bind,1,43%,57%
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (C),All Maps,3,36%,64%
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (C),Split,1,21%,79%
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (C),Icebox,1,46%,54%
Champions Tour 2024: Pacific Kickoff,Group Stage,Opening (C),Sunset,1,43%,57%
Champions Tour 2024: Pacific Kickoff,Group Stage,Winner's (C),All Maps,3,44%,56%
Champions Tour 2024: Pacific Kickoff,Group Stage,Winner's (C),Lotus,1,48%,52%
Champions Tour 2024: Pacific Kickoff,Group Stage,Winner's (C),Breeze,1,57%,43%
Champions Tour 2024: Pacific Kickoff,Group Stage,Winner's (C),Sunset,1,25%,75%
Champions Tour 2024: Pacific Kickoff,Group Stage,Decider (C),All Maps,3,54%,46%
Champions Tour 2024: Pacific Kickoff,Group Stage,Decider (C),Breeze,1,70%,30%
Champions Tour 2024: Pacific Kickoff,Group Stage,Decider (C),Icebox,1,63%,38%
Champions Tour 2024: Pacific Kickoff,Group Stage,Decider (C),Lotus,1,25%,75%
Champions Tour 2024: Pacific Kickoff,All Stages,All Match Types,All Maps,46,53%,47%
Champions Tour 2024: Pacific Kickoff,All Stages,All Match Types,Lotus,10,56%,44%
Champions Tour 2024: Pacific Kickoff,All Stages,All Match Types,Ascent,8,57%,43%
Champions Tour 2024: Pacific Kickoff,All Stages,All Match Types,Breeze,8,49%,51%
Champions Tour 2024: Pacific Kickoff,All Stages,All Match Types,Icebox,7,57%,43%
Champions Tour 2024: Pacific Kickoff,All Stages,All Match Types,Split,5,52%,48%
Champions Tour 2024: Pacific Kickoff,All Stages,All Match Types,Bind,4,49%,51%
Champions Tour 2024: Pacific Kickoff,All Stages,All Match Types,Sunset,4,41%,59%
Champions Tour 2024: EMEA Kickoff,Playoffs,Semifinals,All Maps,4,46%,54%
Champions Tour 2024: EMEA Kickoff,Playoffs,Semifinals,Lotus,1,39%,61%
Champions Tour 2024: EMEA Kickoff,Playoffs,Semifinals,Breeze,1,71%,29%
Champions Tour 2024: EMEA Kickoff,Playoffs,Semifinals,Split,1,48%,52%
Champions Tour 2024: EMEA Kickoff,Playoffs,Semifinals,Sunset,1,33%,67%
Champions Tour 2024: EMEA Kickoff,Playoffs,Grand Final,All Maps,4,53%,48%
Champions Tour 2024: EMEA Kickoff,Playoffs,Grand Final,Lotus,1,85%,15%
Champions Tour 2024: EMEA Kickoff,Playoffs,Grand Final,Icebox,1,45%,55%
Champions Tour 2024: EMEA Kickoff,Playoffs,Grand Final,Split,1,50%,50%
Champions Tour 2024: EMEA Kickoff,Playoffs,Grand Final,Sunset,1,32%,68%
