Tournament,Stage,Match Type,Match Name,Map,Team,Elimination,Detonated,Defused,Time Expiry (No Plant),Eliminated,Defused Failed,Detonation Denied,Time Expiry (Failed to Plant)
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,Icebox,LOUD,8,2,3,0,6,2,3,0
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,Icebox,Sentinels,6,2,3,0,8,2,3,0
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,Bind,LOUD,8,2,3,0,5,2,1,0
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,Bind,Sentinels,5,2,1,0,8,2,3,0
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,Lotus,LOUD,2,0,2,0,8,3,2,0
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,Lotus,Sentinels,8,3,2,0,2,0,2,0
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),Trace Esports vs TYLOO,Ascent,Trace Esports,6,0,6,1,3,1,0,0
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),Trace Esports vs TYLOO,Ascent,TYLOO,3,1,0,0,6,0,6,1
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),Trace Esports vs TYLOO,Sunset,Trace Esports,8,0,5,0,2,1,0,0
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),Trace Esports vs TYLOO,Sunset,TYLOO,2,1,0,0,8,0,5,0
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),FunPlus Phoenix vs Nova Esports,Lotus,FunPlus Phoenix,10,0,3,0,3,2,0,0
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),FunPlus Phoenix vs Nova Esports,Lotus,Nova Esports,3,2,0,0,10,0,3,0
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),FunPlus Phoenix vs Nova Esports,Sunset,FunPlus Phoenix,11,1,1,0,4,3,3,0
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),FunPlus Phoenix vs Nova Esports,Sunset,Nova Esports,4,3,3,0,11,1,1,0
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),JD Gaming vs Titan Esports Club,Lotus,JD Gaming,6,1,1,0,10,0,1,2
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),JD Gaming vs Titan Esports Club,Lotus,Titan Esports Club,10,0,1,2,6,1,1,0
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),JD Gaming vs Titan Esports Club,Bind,JD Gaming,8,0,5,1,8,2,5,1
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),JD Gaming vs Titan Esports Club,Bind,Titan Esports Club,8,2,5,1,8,0,5,1
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),Dragon Ranger Gaming vs All Gamers,Sunset,Dragon Ranger Gaming,11,1,1,0,9,0,1,1
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),Dragon Ranger Gaming vs All Gamers,Sunset,All Gamers,9,0,1,1,11,1,1,0
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),Dragon Ranger Gaming vs All Gamers,Ascent,Dragon Ranger Gaming,11,0,1,1,3,1,0,0
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),Dragon Ranger Gaming vs All Gamers,Ascent,All Gamers,3,1,0,0,11,0,1,1
Champions Tour 2024: China Kickoff,Group Stage,Opening (C),Bilibili Gaming vs Wolves Esports,Ascent,Bilibili Gaming,6,1,1,1,11,0,0,2
Champions Tour 2024: China Kickoff,Group Stage,Opening (C),Bilibili Gaming vs Wolves Esports,Ascent,Wolves Esports,11,0,0,2,6,1,1,1
Champions Tour 2024: China Kickoff,Group Stage,Opening (C),Bilibili Gaming vs Wolves Esports,Icebox,Bilibili Gaming,4,0,3,0,10,1,2,0
Champions Tour 2024: China Kickoff,Group Stage,Opening (C),Bilibili Gaming vs Wolves Esports,Icebox,Wolves Esports,10,1,2,0,4,0,3,0
Champions Tour 2024: China Kickoff,Group Stage,Elimination (A),TYLOO vs Nova Esports,Ascent,TYLOO,9,0,2,0,12,0,0,1
Champions Tour 2024: China Kickoff,Group Stage,Elimination (A),TYLOO vs Nova Esports,Ascent,Nova Esports,12,0,0,1,9,0,2,0
Champions Tour 2024: China Kickoff,Group Stage,Elimination (A),TYLOO vs Nova Esports,Split,TYLOO,9,0,2,0,10,1,1,1
Champions Tour 2024: China Kickoff,Group Stage,Elimination (A),TYLOO vs Nova Esports,Split,Nova Esports,10,1,1,1,9,0,2,0
Champions Tour 2024: China Kickoff,Group Stage,Elimination (B),JD Gaming vs All Gamers,Icebox,JD Gaming,6,2,3,2,6,1,3,1
Champions Tour 2024: China Kickoff,Group Stage,Elimination (B),JD Gaming vs All Gamers,Icebox,All Gamers,6,1,3,1,6,2,3,2
Champions Tour 2024: China Kickoff,Group Stage,Elimination (B),JD Gaming vs All Gamers,Sunset,JD Gaming,12,0,0,1,4,1,2,1
Champions Tour 2024: China Kickoff,Group Stage,Elimination (B),JD Gaming vs All Gamers,Sunset,All Gamers,4,1,2,1,12,0,0,1
Champions Tour 2024: China Kickoff,Group Stage,Winner's (A),Trace Esports vs FunPlus Phoenix,Sunset,Trace Esports,8,1,2,0,9,2,2,0
Champions Tour 2024: China Kickoff,Group Stage,Winner's (A),Trace Esports vs FunPlus Phoenix,Sunset,FunPlus Phoenix,9,2,2,0,8,1,2,0
Champions Tour 2024: China Kickoff,Group Stage,Winner's (A),Trace Esports vs FunPlus Phoenix,Bind,Trace Esports,9,2,2,0,9,2,0,0
Champions Tour 2024: China Kickoff,Group Stage,Winner's (A),Trace Esports vs FunPlus Phoenix,Bind,FunPlus Phoenix,9,2,0,0,9,2,2,0
Champions Tour 2024: China Kickoff,Group Stage,Winner's (A),Trace Esports vs FunPlus Phoenix,Lotus,Trace Esports,7,1,1,1,6,3,4,0
Champions Tour 2024: China Kickoff,Group Stage,Winner's (A),Trace Esports vs FunPlus Phoenix,Lotus,FunPlus Phoenix,6,3,4,0,7,1,1,1
Champions Tour 2024: China Kickoff,Group Stage,Winner's (B),Titan Esports Club vs Dragon Ranger Gaming,Icebox,Titan Esports Club,6,0,4,1,4,1,7,1
Champions Tour 2024: China Kickoff,Group Stage,Winner's (B),Titan Esports Club vs Dragon Ranger Gaming,Icebox,Dragon Ranger Gaming,4,1,7,1,6,0,4,1
Champions Tour 2024: China Kickoff,Group Stage,Winner's (B),Titan Esports Club vs Dragon Ranger Gaming,Split,Titan Esports Club,12,0,1,0,6,1,1,0
Champions Tour 2024: China Kickoff,Group Stage,Winner's (B),Titan Esports Club vs Dragon Ranger Gaming,Split,Dragon Ranger Gaming,6,1,1,0,12,0,1,0
Champions Tour 2024: China Kickoff,Group Stage,Winner's (B),Titan Esports Club vs Dragon Ranger Gaming,Bind,Titan Esports Club,8,0,2,0,9,2,2,0
Champions Tour 2024: China Kickoff,Group Stage,Winner's (B),Titan Esports Club vs Dragon Ranger Gaming,Bind,Dragon Ranger Gaming,9,2,2,0,8,0,2,0
Champions Tour 2024: China Kickoff,Group Stage,Winner's (C),Wolves Esports vs EDward Gaming,Bind,Wolves Esports,6,2,0,2,8,0,5,0
Champions Tour 2024: China Kickoff,Group Stage,Winner's (C),Wolves Esports vs EDward Gaming,Bind,EDward Gaming,8,0,5,0,6,2,0,2
Champions Tour 2024: China Kickoff,Group Stage,Winner's (C),Wolves Esports vs EDward Gaming,Ascent,Wolves Esports,11,0,0,2,6,1,3,0
Champions Tour 2024: China Kickoff,Group Stage,Winner's (C),Wolves Esports vs EDward Gaming,Ascent,EDward Gaming,6,1,3,0,11,0,0,2
Champions Tour 2024: China Kickoff,Group Stage,Winner's (C),Wolves Esports vs EDward Gaming,Breeze,Wolves Esports,9,0,2,0,7,3,3,0
Champions Tour 2024: China Kickoff,Group Stage,Winner's (C),Wolves Esports vs EDward Gaming,Breeze,EDward Gaming,7,3,3,0,9,0,2,0
Champions Tour 2024: China Kickoff,Group Stage,Decider (A),Trace Esports vs Nova Esports,Split,Trace Esports,11,1,1,0,4,1,0,0
Champions Tour 2024: China Kickoff,Group Stage,Decider (A),Trace Esports vs Nova Esports,Split,Nova Esports,4,1,0,0,11,1,1,0
Champions Tour 2024: China Kickoff,Group Stage,Decider (A),Trace Esports vs Nova Esports,Lotus,Trace Esports,10,0,3,0,3,1,0,0
Champions Tour 2024: China Kickoff,Group Stage,Decider (A),Trace Esports vs Nova Esports,Lotus,Nova Esports,3,1,0,0,10,0,3,0
Champions Tour 2024: China Kickoff,Group Stage,Decider (B),Titan Esports Club vs JD Gaming,Bind,Titan Esports Club,3,1,1,0,6,3,4,0
Champions Tour 2024: China Kickoff,Group Stage,Decider (B),Titan Esports Club vs JD Gaming,Bind,JD Gaming,6,3,4,0,3,1,1,0
Champions Tour 2024: China Kickoff,Group Stage,Decider (B),Titan Esports Club vs JD Gaming,Icebox,Titan Esports Club,8,2,4,0,9,0,3,0
Champions Tour 2024: China Kickoff,Group Stage,Decider (B),Titan Esports Club vs JD Gaming,Icebox,JD Gaming,9,0,3,0,8,2,4,0
Champions Tour 2024: China Kickoff,Group Stage,Decider (B),Titan Esports Club vs JD Gaming,Lotus,Titan Esports Club,8,1,4,0,4,3,3,0
Champions Tour 2024: China Kickoff,Group Stage,Decider (B),Titan Esports Club vs JD Gaming,Lotus,JD Gaming,4,3,3,0,8,1,4,0
Champions Tour 2024: China Kickoff,Group Stage,Decider (C),Wolves Esports vs Bilibili Gaming,Sunset,Wolves Esports,6,0,3,0,11,0,2,0
Champions Tour 2024: China Kickoff,Group Stage,Decider (C),Wolves Esports vs Bilibili Gaming,Sunset,Bilibili Gaming,11,0,2,0,6,0,3,0
Champions Tour 2024: China Kickoff,Group Stage,Decider (C),Wolves Esports vs Bilibili Gaming,Icebox,Wolves Esports,7,0,2,1,10,0,3,0
Champions Tour 2024: China Kickoff,Group Stage,Decider (C),Wolves Esports vs Bilibili Gaming,Icebox,Bilibili Gaming,10,0,3,0,7,0,2,1
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Trace Esports vs Titan Esports Club,Breeze,Trace Esports,11,2,3,0,14,0,4,0
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Trace Esports vs Titan Esports Club,Breeze,Titan Esports Club,14,0,4,0,11,2,3,0
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Trace Esports vs Titan Esports Club,Lotus,Trace Esports,8,2,3,0,4,0,2,0
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Trace Esports vs Titan Esports Club,Lotus,Titan Esports Club,4,0,2,0,8,2,3,0
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Trace Esports vs Titan Esports Club,Split,Trace Esports,12,1,0,0,5,1,2,0
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Trace Esports vs Titan Esports Club,Split,Titan Esports Club,5,1,2,0,12,1,0,0
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Bilibili Gaming vs Titan Esports Club,Lotus,Bilibili Gaming,8,0,5,0,2,1,0,0
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Bilibili Gaming vs Titan Esports Club,Lotus,Titan Esports Club,2,1,0,0,8,0,5,0
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Bilibili Gaming vs Titan Esports Club,Ascent,Bilibili Gaming,12,1,0,0,7,0,1,0
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Bilibili Gaming vs Titan Esports Club,Ascent,Titan Esports Club,7,0,1,0,12,1,0,0
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Bilibili Gaming vs Trace Esports,Lotus,Bilibili Gaming,7,2,4,0,7,1,3,0
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Bilibili Gaming vs Trace Esports,Lotus,Trace Esports,7,1,3,0,7,2,4,0
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Bilibili Gaming vs Trace Esports,Sunset,Bilibili Gaming,8,1,4,0,12,0,3,0
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Bilibili Gaming vs Trace Esports,Sunset,Trace Esports,12,0,3,0,8,1,4,0
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Bilibili Gaming vs Trace Esports,Bind,Bilibili Gaming,5,1,4,2,8,2,1,3
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Bilibili Gaming vs Trace Esports,Bind,Trace Esports,8,2,1,3,5,1,4,2
Champions Tour 2024: China Kickoff,Playoffs,Semifinals,FunPlus Phoenix vs Dragon Ranger Gaming,Ascent,FunPlus Phoenix,11,1,1,0,7,0,2,1
Champions Tour 2024: China Kickoff,Playoffs,Semifinals,FunPlus Phoenix vs Dragon Ranger Gaming,Ascent,Dragon Ranger Gaming,7,0,2,1,11,1,1,0
Champions Tour 2024: China Kickoff,Playoffs,Semifinals,FunPlus Phoenix vs Dragon Ranger Gaming,Breeze,FunPlus Phoenix,8,1,3,1,3,0,3,0
Champions Tour 2024: China Kickoff,Playoffs,Semifinals,FunPlus Phoenix vs Dragon Ranger Gaming,Breeze,Dragon Ranger Gaming,3,0,3,0,8,1,3,1
Champions Tour 2024: China Kickoff,Playoffs,Semifinals,EDward Gaming vs Trace Esports,Sunset,EDward Gaming,9,1,4,0,8,2,1,1
Champions Tour 2024: China Kickoff,Playoffs,Semifinals,EDward Gaming vs Trace Esports,Sunset,Trace Esports,8,2,1,1,9,1,4,0
Champions Tour 2024: China Kickoff,Playoffs,Semifinals,EDward Gaming vs Trace Esports,Bind,EDward Gaming,8,2,3,0,3,0,3,0
Champions Tour 2024: China Kickoff,Playoffs,Semifinals,EDward Gaming vs Trace Esports,Bind,Trace Esports,3,0,3,0,8,2,3,0
Champions Tour 2024: China Kickoff,Playoffs,Grand Final,FunPlus Phoenix vs EDward Gaming,Breeze,FunPlus Phoenix,11,0,1,0,9,1,4,0
Champions Tour 2024: China Kickoff,Playoffs,Grand Final,FunPlus Phoenix vs EDward Gaming,Breeze,EDward Gaming,9,1,4,0,11,0,1,0
Champions Tour 2024: China Kickoff,Playoffs,Grand Final,FunPlus Phoenix vs EDward Gaming,Split,FunPlus Phoenix,2,1,2,1,9,1,2,1
Champions Tour 2024: China Kickoff,Playoffs,Grand Final,FunPlus Phoenix vs EDward Gaming,Split,EDward Gaming,9,1,2,1,2,1,2,1
Champions Tour 2024: China Kickoff,Playoffs,Grand Final,FunPlus Phoenix vs EDward Gaming,Icebox,FunPlus Phoenix,11,0,0,2,8,0,0,0
Champions Tour 2024: China Kickoff,Playoffs,Grand Final,FunPlus Phoenix vs EDward Gaming,Icebox,EDward Gaming,8,0,0,0,11,0,0,2
Champions Tour 2024: China Kickoff,Playoffs,Grand Final,FunPlus Phoenix vs EDward Gaming,Ascent,FunPlus Phoenix,9,1,3,1,11,2,2,1
Champions Tour 2024: China Kickoff,Playoffs,Grand Final,FunPlus Phoenix vs EDward Gaming,Ascent,EDward Gaming,11,2,2,1,9,1,3,1
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),FUT Esports vs Team Heretics,Lotus,FUT Esports,7,0,4,0,8,2,3,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),FUT Esports vs Team Heretics,Lotus,Team Heretics,8,2,3,0,7,0,4,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),FUT Esports vs Team Heretics,Bind,FUT Esports,6,1,2,1,7,0,6,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),FUT Esports vs Team Heretics,Bind,Team Heretics,7,0,6,0,6,1,2,1
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),GIANTX vs Karmine Corp,Split,GIANTX,8,0,3,0,7,2,4,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),GIANTX vs Karmine Corp,Split,Karmine Corp,7,2,4,0,8,0,3,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),GIANTX vs Karmine Corp,Sunset,GIANTX,10,0,3,0,6,1,3,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),GIANTX vs Karmine Corp,Sunset,Karmine Corp,6,1,3,0,10,0,3,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),GIANTX vs Karmine Corp,Lotus,GIANTX,4,0,0,0,7,1,5,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),GIANTX vs Karmine Corp,Lotus,Karmine Corp,7,1,5,0,4,0,0,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Natus Vincere vs BBL Esports,Bind,Natus Vincere,4,1,2,1,4,3,6,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Natus Vincere vs BBL Esports,Bind,BBL Esports,4,3,6,0,4,1,2,1
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Natus Vincere vs BBL Esports,Ascent,Natus Vincere,11,1,1,0,5,1,0,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Natus Vincere vs BBL Esports,Ascent,BBL Esports,5,1,0,0,11,1,1,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Natus Vincere vs BBL Esports,Breeze,Natus Vincere,8,0,4,1,5,0,1,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Natus Vincere vs BBL Esports,Breeze,BBL Esports,5,0,1,0,8,0,4,1
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Team Liquid vs KOI,Icebox,Team Liquid,5,4,4,0,7,1,2,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Team Liquid vs KOI,Icebox,KOI,7,1,2,0,5,4,4,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Team Liquid vs KOI,Bind,Team Liquid,7,3,2,1,9,0,2,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Team Liquid vs KOI,Bind,KOI,9,0,2,0,7,3,2,1
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (C),Team Vitality vs Gentle Mates,Sunset,Team Vitality,5,4,4,0,5,4,1,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (C),Team Vitality vs Gentle Mates,Sunset,Gentle Mates,5,4,1,0,5,4,4,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (C),Team Vitality vs Gentle Mates,Lotus,Team Vitality,5,2,5,1,3,2,2,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (C),Team Vitality vs Gentle Mates,Lotus,Gentle Mates,3,2,2,0,5,2,5,1
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (A),Team Heretics vs Karmine Corp,Split,Team Heretics,7,1,4,1,3,0,1,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (A),Team Heretics vs Karmine Corp,Split,Karmine Corp,3,0,1,0,7,1,4,1
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (A),Team Heretics vs Karmine Corp,Lotus,Team Heretics,6,1,5,1,3,1,0,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (A),Team Heretics vs Karmine Corp,Lotus,Karmine Corp,3,1,0,0,6,1,5,1
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (A),FUT Esports vs GIANTX,Split,FUT Esports,6,2,4,1,3,1,1,1
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (A),FUT Esports vs GIANTX,Split,GIANTX,3,1,1,1,6,2,4,1
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (A),FUT Esports vs GIANTX,Icebox,FUT Esports,4,0,4,0,9,1,3,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (A),FUT Esports vs GIANTX,Icebox,GIANTX,9,1,3,0,4,0,4,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (A),FUT Esports vs GIANTX,Sunset,FUT Esports,8,1,4,0,3,1,3,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (A),FUT Esports vs GIANTX,Sunset,GIANTX,3,1,3,0,8,1,4,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (B),Natus Vincere vs Team Liquid,Split,Natus Vincere,9,2,2,0,6,1,0,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (B),Natus Vincere vs Team Liquid,Split,Team Liquid,6,1,0,0,9,2,2,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (B),Natus Vincere vs Team Liquid,Breeze,Natus Vincere,11,1,1,0,4,1,2,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (B),Natus Vincere vs Team Liquid,Breeze,Team Liquid,4,1,2,0,11,1,1,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (B),BBL Esports vs KOI,Bind,BBL Esports,1,2,0,2,8,2,3,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (B),BBL Esports vs KOI,Bind,KOI,8,2,3,0,1,2,0,2
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (B),BBL Esports vs KOI,Split,BBL Esports,7,0,2,1,7,1,5,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Elimination (B),BBL Esports vs KOI,Split,KOI,7,1,5,0,7,0,2,1
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (C),Team Vitality vs FNATIC,Lotus,Team Vitality,6,3,3,0,9,2,2,1
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (C),Team Vitality vs FNATIC,Lotus,FNATIC,9,2,2,1,6,3,3,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (C),Team Vitality vs FNATIC,Ascent,Team Vitality,4,1,0,0,7,1,5,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Winner's (C),Team Vitality vs FNATIC,Ascent,FNATIC,7,1,5,0,4,1,0,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (C),Team Vitality vs Gentle Mates,Breeze,Team Vitality,4,0,0,0,11,1,1,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (C),Team Vitality vs Gentle Mates,Breeze,Gentle Mates,11,1,1,0,4,0,0,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (C),Team Vitality vs Gentle Mates,Lotus,Team Vitality,10,1,3,1,7,3,3,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (C),Team Vitality vs Gentle Mates,Lotus,Gentle Mates,7,3,3,0,10,1,3,1
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (C),Team Vitality vs Gentle Mates,Sunset,Team Vitality,6,7,0,0,2,0,1,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (C),Team Vitality vs Gentle Mates,Sunset,Gentle Mates,2,0,1,0,6,7,0,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (A),Karmine Corp vs FUT Esports,Lotus,Karmine Corp,14,2,4,0,10,2,6,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (A),Karmine Corp vs FUT Esports,Lotus,FUT Esports,10,2,6,0,14,2,4,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (A),Karmine Corp vs FUT Esports,Bind,Karmine Corp,1,0,3,0,6,3,4,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (A),Karmine Corp vs FUT Esports,Bind,FUT Esports,6,3,4,0,1,0,3,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (A),Karmine Corp vs FUT Esports,Sunset,Karmine Corp,3,0,9,1,4,0,3,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (A),Karmine Corp vs FUT Esports,Sunset,FUT Esports,4,0,3,0,3,0,9,1
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (B),Team Liquid vs KOI,Sunset,Team Liquid,7,1,1,2,8,2,3,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (B),Team Liquid vs KOI,Sunset,KOI,8,2,3,0,7,1,1,2
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (B),Team Liquid vs KOI,Icebox,Team Liquid,9,2,2,1,9,0,3,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (B),Team Liquid vs KOI,Icebox,KOI,9,0,3,0,9,2,2,1
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (B),Team Liquid vs KOI,Split,Team Liquid,6,2,2,0,8,3,2,0
Champions Tour 2024: EMEA Kickoff,Group Stage,Decider (B),Team Liquid vs KOI,Split,KOI,8,3,2,0,6,2,2,0
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,Karmine Corp vs Team Vitality,Sunset,Karmine Corp,5,2,6,0,3,2,3,0
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,Karmine Corp vs Team Vitality,Sunset,Team Vitality,3,2,3,0,5,2,6,0
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,Karmine Corp vs Team Vitality,Ascent,Karmine Corp,7,4,4,0,8,2,3,0
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,Karmine Corp vs Team Vitality,Ascent,Team Vitality,8,2,3,0,7,4,4,0
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,KOI vs Team Vitality,Sunset,KOI,3,4,2,0,7,4,2,0
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,KOI vs Team Vitality,Sunset,Team Vitality,7,4,2,0,3,4,2,0
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,KOI vs Team Vitality,Breeze,KOI,2,0,4,0,10,1,2,0
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,KOI vs Team Vitality,Breeze,Team Vitality,10,1,2,0,2,0,4,0
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,Karmine Corp vs KOI,Sunset,Karmine Corp,5,1,7,0,3,1,0,0
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,Karmine Corp vs KOI,Sunset,KOI,3,1,0,0,5,1,7,0
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,Karmine Corp vs KOI,Bind,Karmine Corp,7,4,2,0,5,1,1,0
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Play-ins,Karmine Corp vs KOI,Bind,KOI,5,1,1,0,7,4,2,0
Champions Tour 2024: EMEA Kickoff,Playoffs,Semifinals,Team Heretics vs Natus Vincere,Sunset,Team Heretics,11,1,1,3,10,0,4,0
Champions Tour 2024: EMEA Kickoff,Playoffs,Semifinals,Team Heretics vs Natus Vincere,Sunset,Natus Vincere,10,0,4,0,11,1,1,3
Champions Tour 2024: EMEA Kickoff,Playoffs,Semifinals,Team Heretics vs Natus Vincere,Breeze,Team Heretics,9,2,2,0,3,0,1,0
Champions Tour 2024: EMEA Kickoff,Playoffs,Semifinals,Team Heretics vs Natus Vincere,Breeze,Natus Vincere,3,0,1,0,9,2,2,0
Champions Tour 2024: EMEA Kickoff,Playoffs,Semifinals,FNATIC vs Karmine Corp,Lotus,FNATIC,5,1,4,0,7,0,6,0
Champions Tour 2024: EMEA Kickoff,Playoffs,Semifinals,FNATIC vs Karmine Corp,Lotus,Karmine Corp,7,0,6,0,5,1,4,0
Champions Tour 2024: EMEA Kickoff,Playoffs,Semifinals,FNATIC vs Karmine Corp,Split,FNATIC,5,2,1,0,6,3,4,0
Champions Tour 2024: EMEA Kickoff,Playoffs,Semifinals,FNATIC vs Karmine Corp,Split,Karmine Corp,6,3,4,0,5,2,1,0
Champions Tour 2024: EMEA Kickoff,Playoffs,Grand Final,Team Heretics vs Karmine Corp,Sunset,Team Heretics,7,1,4,1,6,0,2,1
Champions Tour 2024: EMEA Kickoff,Playoffs,Grand Final,Team Heretics vs Karmine Corp,Sunset,Karmine Corp,6,0,2,1,7,1,4,1
