Tournament,Stage,Match Type,Match Name,Map,Team,Player,Agents,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Econ,Spike Plants,Spike Defuses
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Haven,FULL SENSE,LAMMYSNAX,skye,,1,,,,,,,,39,0,1
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,Vision Strikers,stax,skye,,,,,,,,,,21,10,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,Vision Strikers,Rb,sova,4,,,,,,,,,64,0,1
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,Vision Strikers,k1Ng,cypher,1,3,,,,,,,,67,0,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,Vision Strikers,BuZz,jett,7,2,1,,,,,,,109,0,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,Vision Strikers,MaKo,viper,,,,,,,,,,48,1,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,FULL SENSE,PTC,skye,,,,,,,,,,37,0,1
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,FULL SENSE,SuperBusS,viper,1,,,,,,,,,47,1,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,FULL SENSE,ChAlalala,cypher,,1,,,,,,,,22,1,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,FULL SENSE,JohnOlsen,jett,2,,,,,,,,,56,0,1
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,FULL SENSE,LAMMYSNAX,sova,4,,1,,,,,,,79,1,0
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,All Maps,Team Vikings,frz,"reyna, skye",5,,,,1,,,,,48,1,1
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,All Maps,Team Vikings,Sacy,"breach, sova",9,4,,,1,1,,,,68,9,2
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,All Maps,Team Vikings,saadhak,"killjoy, sage",10,2,,,,,,,,60,9,1
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,All Maps,Team Vikings,gtn,jett,4,4,1,,1,,,,,54,0,1
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,All Maps,Team Vikings,sutecas,"astra, viper",5,2,,,1,,,,,52,0,0
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,All Maps,Crazy Raccoon,Bazzi,sova,2,1,,,,1,,,,69,0,3
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,All Maps,Crazy Raccoon,Medusa,killjoy,2,2,,,,,,,,52,1,0
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,All Maps,Crazy Raccoon,ade,"astra, viper",3,,,,2,,,,,34,3,1
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,All Maps,Crazy Raccoon,Fisker,jett,9,2,,,1,1,,,,65,0,1
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,All Maps,Crazy Raccoon,neth,"breach, sage",5,1,1,,,1,,,,33,10,1
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,All Maps,Crazy Raccoon,Munchkin,"kayo, sova",3,3,,,,,,,,48,0,0
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,Team Vikings,frz,reyna,2,,,,,,,,,48,1,0
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,Team Vikings,Sacy,sova,7,2,,,1,,,,,89,2,1
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,Team Vikings,saadhak,sage,5,,,,,,,,,43,8,1
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,Team Vikings,gtn,jett,3,3,,,1,,,,,64,0,1
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,Team Vikings,sutecas,viper,2,,,,,,,,,43,0,0
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,Crazy Raccoon,Bazzi,sova,2,1,,,,1,,,,69,0,3
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,Crazy Raccoon,ade,viper,2,,,,2,,,,,40,0,1
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,Crazy Raccoon,Fisker,jett,3,,,,1,,,,,49,0,0
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,Crazy Raccoon,neth,sage,4,,1,,,,,,,36,6,1
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,Crazy Raccoon,Munchkin,kayo,2,2,,,,,,,,55,0,0
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,Team Vikings,frz,skye,3,,,,1,,,,,48,0,1
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,Team Vikings,Sacy,breach,2,2,,,,1,,,,46,7,1
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,Team Vikings,saadhak,killjoy,5,2,,,,,,,,77,1,0
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,Team Vikings,gtn,jett,1,1,1,,,,,,,44,0,0
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,Team Vikings,sutecas,astra,3,2,,,1,,,,,61,0,0
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,Crazy Raccoon,Medusa,killjoy,2,2,,,,,,,,52,1,0
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,Crazy Raccoon,ade,astra,1,,,,,,,,,28,3,0
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,Crazy Raccoon,Fisker,jett,6,2,,,,1,,,,81,0,1
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,Crazy Raccoon,neth,breach,1,1,,,,1,,,,29,4,0
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,Crazy Raccoon,Munchkin,sova,1,1,,,,,,,,40,0,0
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,All Maps,FNATIC,Boaster,"astra, sova, viper",7,1,,,,,,,,43,4,0
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,All Maps,FNATIC,doma,"breach, kayo, sage",10,,1,,,,,,,56,6,7
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,All Maps,FNATIC,Mistic,"astra, viper",8,1,,,1,1,,,,50,7,3
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,All Maps,FNATIC,MAGNUM,"cypher, killjoy",9,3,,,1,,,,,53,4,2
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,All Maps,FNATIC,Derke,"jett, raze",21,5,,,,,,,,61,1,3
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,All Maps,Cloud9,xeta,"breach, sova",11,3,,,2,,,,,52,14,1
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,All Maps,Cloud9,mitch,"killjoy, sage",9,1,,,1,,,,,42,13,3
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,All Maps,Cloud9,vanity,"astra, viper",9,3,,,1,,,,,42,4,1
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,All Maps,Cloud9,Xeppaa,raze,12,4,,,,1,,,,55,2,0
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,All Maps,Cloud9,leaf,"jett, skye",11,2,,,1,,,,,53,0,2
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Icebox,FNATIC,Boaster,sova,7,,,,,,,,,71,1,0
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Icebox,FNATIC,doma,sage,3,,,,,,,,,47,5,3
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Icebox,FNATIC,Mistic,viper,3,,,,,,,,,70,1,1
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Icebox,FNATIC,MAGNUM,killjoy,4,,,,,,,,,59,1,0
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Icebox,FNATIC,Derke,jett,6,4,,,,,,,,74,1,2
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Icebox,Cloud9,xeta,sova,3,1,,,,,,,,45,2,0
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Icebox,Cloud9,mitch,sage,1,,,,1,,,,,24,8,3
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Icebox,Cloud9,vanity,viper,1,,,,,,,,,40,0,0
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Icebox,Cloud9,Xeppaa,raze,5,,,,,1,,,,42,1,0
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Icebox,Cloud9,leaf,jett,6,1,,,1,,,,,67,0,1
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Split,FNATIC,Boaster,astra,,,,,,,,,,33,2,0
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Split,FNATIC,doma,kayo,3,,1,,,,,,,52,0,1
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Split,FNATIC,Mistic,viper,,1,,,1,1,,,,28,3,2
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Split,FNATIC,MAGNUM,killjoy,3,2,,,1,,,,,60,0,2
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Split,FNATIC,Derke,raze,5,,,,,,,,,49,0,0
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Split,Cloud9,xeta,breach,6,,,,2,,,,,63,6,1
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Split,Cloud9,mitch,killjoy,6,1,,,,,,,,62,3,0
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Split,Cloud9,vanity,astra,7,,,,,,,,,51,1,0
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Split,Cloud9,Xeppaa,raze,2,1,,,,,,,,46,0,0
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Split,Cloud9,leaf,skye,3,,,,,,,,,60,0,1
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Fracture,FNATIC,Boaster,viper,,1,,,,,,,,24,1,0
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Fracture,FNATIC,doma,breach,4,,,,,,,,,70,1,3
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Fracture,FNATIC,Mistic,astra,5,,,,,,,,,52,3,0
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Fracture,FNATIC,MAGNUM,cypher,2,1,,,,,,,,41,3,0
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Fracture,FNATIC,Derke,raze,10,1,,,,,,,,61,0,1
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Fracture,Cloud9,xeta,breach,2,2,,,,,,,,49,6,0
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Fracture,Cloud9,mitch,killjoy,2,,,,,,,,,39,2,0
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Fracture,Cloud9,vanity,astra,1,3,,,1,,,,,36,3,1
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Fracture,Cloud9,Xeppaa,raze,5,3,,,,,,,,78,1,0
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Fracture,Cloud9,leaf,skye,2,1,,,,,,,,31,0,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,All Maps,Gambit Esports,d3ffo,jett,12,2,,,1,,,,,61,2,1
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,All Maps,Gambit Esports,nAts,viper,11,3,1,1,,2,,,,77,2,1
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,All Maps,Gambit Esports,Chronicle,"killjoy, sova",10,3,,,1,,,,,87,7,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,All Maps,Gambit Esports,Redgar,"astra, sage, sova",5,1,,,1,1,,,,42,14,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,All Maps,Gambit Esports,sheydos,"reyna, skye",8,,,1,,,,,,54,1,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,All Maps,Team Secret,BORKUM,"astra, viper",6,1,1,,,1,,,,34,0,1
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,All Maps,Team Secret,JessieVash,sova,9,2,,,3,1,,,,63,2,1
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,All Maps,Team Secret,dispenser,"cypher, killjoy, sage",4,2,,,,,,,,43,4,3
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,All Maps,Team Secret,DubsteP,jett,9,1,,,,,,,,53,0,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,All Maps,Team Secret,Witz,"reyna, skye",6,,,,,,,,,45,1,1
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Icebox,Gambit Esports,d3ffo,jett,3,2,,,,,,,,75,0,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Icebox,Gambit Esports,nAts,viper,4,,,,,,,,,37,0,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Icebox,Gambit Esports,Chronicle,sova,2,1,,,,,,,,43,3,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Icebox,Gambit Esports,Redgar,sage,1,1,,,1,,,,,29,4,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Icebox,Gambit Esports,sheydos,reyna,2,,,1,,,,,,54,1,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Icebox,Team Secret,BORKUM,viper,3,,,,,,,,,42,0,1
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Icebox,Team Secret,JessieVash,sova,4,,,,2,1,,,,60,0,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Icebox,Team Secret,dispenser,sage,2,2,,,,,,,,67,3,2
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Icebox,Team Secret,DubsteP,jett,6,,,,,,,,,80,0,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Icebox,Team Secret,Witz,reyna,2,,,,,,,,,56,1,1
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Breeze,Gambit Esports,d3ffo,jett,3,,,,,,,,,51,0,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Breeze,Gambit Esports,nAts,viper,3,2,,,,2,,,,120,1,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Breeze,Gambit Esports,Chronicle,killjoy,1,2,,,,,,,,134,1,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Breeze,Gambit Esports,Redgar,sova,1,,,,,,,,,45,10,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Breeze,Gambit Esports,sheydos,skye,4,,,,,,,,,64,0,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Breeze,Team Secret,BORKUM,viper,1,,,,,,,,,24,0,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Breeze,Team Secret,JessieVash,sova,4,,,,,,,,,70,0,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Breeze,Team Secret,dispenser,cypher,,,,,,,,,,22,0,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Breeze,Team Secret,DubsteP,jett,1,,,,,,,,,29,0,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Breeze,Team Secret,Witz,skye,2,,,,,,,,,41,0,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Bind,Gambit Esports,d3ffo,jett,6,,,,1,,,,,57,2,1
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Bind,Gambit Esports,nAts,viper,4,1,1,1,,,,,,75,1,1
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Bind,Gambit Esports,Chronicle,sova,7,,,,1,,,,,83,3,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Bind,Gambit Esports,Redgar,astra,3,,,,,1,,,,52,0,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Bind,Gambit Esports,sheydos,skye,2,,,,,,,,,45,0,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Bind,Team Secret,BORKUM,astra,2,1,1,,,1,,,,37,0,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Bind,Team Secret,JessieVash,sova,1,2,,,1,,,,,60,2,1
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Bind,Team Secret,dispenser,killjoy,2,,,,,,,,,41,1,1
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Bind,Team Secret,DubsteP,jett,2,1,,,,,,,,49,0,0
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Bind,Team Secret,Witz,skye,2,,,,,,,,,39,0,0
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,All Maps,Sentinels,TenZ,jett,11,5,,,,,,,,66,0,1
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,All Maps,Sentinels,SicK,skye,8,2,,,1,,,,,45,14,2
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,All Maps,Sentinels,ShahZaM,sova,7,1,1,,,1,,,,59,5,1
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,All Maps,Sentinels,zombs,"astra, viper",9,3,,,1,2,,,,52,4,2
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,All Maps,Sentinels,dapr,cypher,6,2,,,1,,,,,46,1,2
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,All Maps,FURIA,xand,jett,8,4,,,,,,,,53,1,1
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,All Maps,FURIA,nzr,sova,8,3,,,1,1,1,,,61,8,3
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,All Maps,FURIA,Quick,"sage, skye, viper",8,1,,,1,,,,,44,9,1
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,All Maps,FURIA,Khalil,killjoy,10,4,,,,,,,,59,2,0
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,All Maps,FURIA,mazin,"astra, skye",4,3,,,,1,,,,41,5,2
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Ascent,Sentinels,TenZ,jett,4,2,,,,,,,,64,0,0
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Ascent,Sentinels,SicK,skye,2,1,,,1,,,,,47,8,1
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Ascent,Sentinels,ShahZaM,sova,1,1,1,,,1,,,,89,1,1
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Ascent,Sentinels,zombs,astra,2,1,,,,,,,,51,0,0
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Ascent,Sentinels,dapr,cypher,2,,,,,,,,,46,0,1
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Ascent,FURIA,xand,jett,2,1,,,,,,,,44,0,0
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Ascent,FURIA,nzr,sova,1,2,,,,,,,,62,4,0
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Ascent,FURIA,Quick,sage,1,,,,,,,,,28,2,0
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Ascent,FURIA,Khalil,killjoy,3,1,,,,,,,,49,0,0
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Ascent,FURIA,mazin,astra,1,2,,,,1,,,,43,3,2
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Breeze,Sentinels,TenZ,jett,2,2,,,,,,,,64,0,0
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Breeze,Sentinels,SicK,skye,3,,,,,,,,,42,3,0
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Breeze,Sentinels,ShahZaM,sova,2,,,,,,,,,35,3,0
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Breeze,Sentinels,zombs,viper,2,2,,,,1,,,,61,2,1
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Breeze,Sentinels,dapr,cypher,2,,,,,,,,,33,0,0
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Breeze,FURIA,xand,jett,5,,,,,,,,,56,1,0
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Breeze,FURIA,nzr,sova,1,1,,,1,,,,,63,2,2
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Breeze,FURIA,Quick,viper,5,,,,,,,,,63,5,0
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Breeze,FURIA,Khalil,killjoy,4,2,,,,,,,,63,0,0
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Breeze,FURIA,mazin,skye,,1,,,,,,,,37,1,0
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Haven,Sentinels,TenZ,jett,5,1,,,,,,,,70,0,1
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Haven,Sentinels,SicK,skye,3,1,,,,,,,,47,3,1
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Haven,Sentinels,ShahZaM,sova,4,,,,,,,,,52,1,0
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Haven,Sentinels,zombs,astra,5,,,,1,1,,,,44,2,1
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Haven,Sentinels,dapr,cypher,2,2,,,1,,,,,58,1,1
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Haven,FURIA,xand,jett,1,3,,,,,,,,58,0,1
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Haven,FURIA,nzr,sova,6,,,,,1,1,,,58,2,1
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Haven,FURIA,Quick,skye,2,1,,,1,,,,,42,2,1
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Haven,FURIA,Khalil,killjoy,3,1,,,,,,,,66,2,0
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Haven,FURIA,mazin,astra,3,,,,,,,,,42,1,0
Valorant Champions 2021,Group Stage,Opening (B),KRÜ Esports vs Team Liquid,All Maps,KRÜ Esports,NagZ,jett,4,2,1,,1,1,,,,63,3,0
Valorant Champions 2021,Group Stage,Opening (B),KRÜ Esports vs Team Liquid,All Maps,KRÜ Esports,keznit,reyna,4,,1,,,,,,,39,1,0
