Tournament,Stage,Match Type,Match Name,Map,Team,Player,Agents,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Econ,Spike Plants,Spike Defuses
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,All Maps,Vision Strikers,stax,"breach, skye",3,3,,,,,,,,38,19,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,All Maps,Vision Strikers,Rb,"skye, sova",6,1,,,,1,,,,64,1,1
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,All Maps,Vision Strikers,k1Ng,"cypher, killjoy",3,3,,,,,,,,63,0,1
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,All Maps,Vision Strikers,BuZz,jett,10,2,1,,,1,,,,88,0,1
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,All Maps,Vision Strikers,MaKo,"astra, viper",2,,1,,,,1,,,55,1,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,All Maps,FULL SENSE,PTC,"breach, skye",4,,,,,1,,,,44,3,1
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,All Maps,FULL SENSE,SuperBusS,"astra, viper",4,,,,,,,,,49,2,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,All Maps,FULL SENSE,ChAlalala,cypher,2,2,,,,,,,,40,1,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,All Maps,FULL SENSE,JohnOlsen,jett,5,,,,,,,,,63,0,1
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,All Maps,FULL SENSE,LAMMYSNAX,"skye, sova",4,1,1,,,,,,,59,1,1
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Haven,Vision Strikers,stax,breach,3,3,,,,,,,,55,9,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Haven,Vision Strikers,Rb,skye,2,1,,,,1,,,,63,1,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Haven,Vision Strikers,k1Ng,killjoy,2,,,,,,,,,58,0,1
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Haven,Vision Strikers,BuZz,jett,3,,,,,1,,,,66,0,1
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Haven,Vision Strikers,MaKo,astra,2,,1,,,,1,,,62,0,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Haven,FULL SENSE,PTC,breach,4,,,,,1,,,,51,3,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Haven,FULL SENSE,SuperBusS,astra,3,,,,,,,,,50,1,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Haven,FULL SENSE,ChAlalala,cypher,2,1,,,,,,,,57,0,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Haven,FULL SENSE,JohnOlsen,jett,3,,,,,,,,,70,0,0
