Tournament,Stage,Match Type,Map,Agent,Pick Rate
Valorant Champions 2021,Playoffs,Quarterfinals,All Maps,jett,80%
Valorant Champions 2021,Playoffs,Quarterfinals,All Maps,sova,80%
Valorant Champions 2021,Playoffs,Quarterfinals,All Maps,viper,60%
Valorant Champions 2021,Playoffs,Quarterfinals,All Maps,astra,55%
Valorant Champions 2021,Playoffs,Quarterfinals,All Maps,reyna,35%
Valorant Champions 2021,Playoffs,Quarterfinals,All Maps,killjoy,35%
Valorant Champions 2021,Playoffs,Quarterfinals,All Maps,kayo,35%
Valorant Champions 2021,Playoffs,Quarterfinals,All Maps,skye,30%
Valorant Champions 2021,Playoffs,Quarterfinals,All Maps,cypher,30%
Valorant Champions 2021,Playoffs,Quarterfinals,All Maps,sage,25%
Valorant Champions 2021,Playoffs,Quarterfinals,All Maps,raze,20%
Valorant Champions 2021,Playoffs,Quarterfinals,All Maps,breach,10%
Valorant Champions 2021,Playoffs,Quarterfinals,All Maps,brimstone,5%
Valorant Champions 2021,Playoffs,Quarterfinals,All Maps,gekko,0%
Valorant Champions 2021,Playoffs,Quarterfinals,All Maps,harbor,0%
Valorant Champions 2021,Playoffs,Quarterfinals,All Maps,iso,0%
Valorant Champions 2021,Playoffs,Quarterfinals,All Maps,fade,0%
Valorant Champions 2021,Playoffs,Quarterfinals,All Maps,deadlock,0%
Valorant Champions 2021,Playoffs,Quarterfinals,All Maps,neon,0%
Valorant Champions 2021,Playoffs,Quarterfinals,All Maps,omen,0%
Valorant Champions 2021,Playoffs,Quarterfinals,All Maps,phoenix,0%
Valorant Champions 2021,Playoffs,Quarterfinals,All Maps,chamber,0%
Valorant Champions 2021,Playoffs,Quarterfinals,All Maps,yoru,0%
Valorant Champions 2021,Playoffs,Quarterfinals,Ascent,jett,100%
Valorant Champions 2021,Playoffs,Quarterfinals,Ascent,sova,100%
Valorant Champions 2021,Playoffs,Quarterfinals,Ascent,viper,0%
Valorant Champions 2021,Playoffs,Quarterfinals,Ascent,astra,100%
Valorant Champions 2021,Playoffs,Quarterfinals,Ascent,reyna,25%
Valorant Champions 2021,Playoffs,Quarterfinals,Ascent,killjoy,50%
Valorant Champions 2021,Playoffs,Quarterfinals,Ascent,kayo,50%
Valorant Champions 2021,Playoffs,Quarterfinals,Ascent,skye,25%
Valorant Champions 2021,Playoffs,Quarterfinals,Ascent,cypher,50%
Valorant Champions 2021,Playoffs,Quarterfinals,Ascent,sage,0%
Valorant Champions 2021,Playoffs,Quarterfinals,Ascent,raze,0%
Valorant Champions 2021,Playoffs,Quarterfinals,Ascent,breach,0%
