Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Haven,Vision Strikers,Pistol Won,,2
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Haven,Vision Strikers,Eco (won),3,2
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Haven,Vision Strikers,$ (won),0,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Haven,Vision Strikers,$$ (won),3,1
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Haven,Vision Strikers,$$$ (won),12,10
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Haven,FULL SENSE,Pistol Won,,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Haven,FULL SENSE,Eco (won),4,1
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Haven,FULL SENSE,$ (won),1,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Haven,FULL SENSE,$$ (won),5,1
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Haven,FULL SENSE,$$$ (won),8,3
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,Vision Strikers,Pistol Won,,1
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,Vision Strikers,Eco (won),3,1
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,Vision Strikers,$ (won),0,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,Vision Strikers,$$ (won),2,1
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,Vision Strikers,$$$ (won),13,11
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,FULL SENSE,Pistol Won,,1
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,FULL SENSE,Eco (won),3,1
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,FULL SENSE,$ (won),1,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,FULL SENSE,$$ (won),9,3
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Breeze,FULL SENSE,$$$ (won),5,1
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,All Maps,Vision Strikers,Pistol Won,,3
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,All Maps,Vision Strikers,Eco (won),6,3
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,All Maps,Vision Strikers,$ (won),0,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,All Maps,Vision Strikers,$$ (won),5,2
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,All Maps,Vision Strikers,$$$ (won),25,21
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,All Maps,FULL SENSE,Pistol Won,,1
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,All Maps,FULL SENSE,Eco (won),7,2
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,All Maps,FULL SENSE,$ (won),2,0
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,All Maps,FULL SENSE,$$ (won),14,4
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,All Maps,FULL SENSE,$$$ (won),13,4
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,Team Vikings,Pistol Won,,1
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,Team Vikings,Eco (won),3,1
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,Team Vikings,$ (won),0,0
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,Team Vikings,$$ (won),4,3
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,Team Vikings,$$$ (won),15,9
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,Crazy Raccoon,Pistol Won,,1
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,Crazy Raccoon,Eco (won),4,2
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Icebox,Crazy Raccoon,$ (won),2,1
