Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,Ninjas In Pyjamas,chamber,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,Ninjas In Pyjamas,kayo,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,Ninjas In Pyjamas,omen,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,Ninjas In Pyjamas,neon,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,Ninjas In Pyjamas,skye,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,9z Team,chamber,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,9z Team,fade,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,9z Team,raze,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,9z Team,breach,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,9z Team,astra,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,KRÜ Esports,chamber,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,KRÜ Esports,fade,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,KRÜ Esports,raze,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,KRÜ Esports,breach,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,KRÜ Esports,astra,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,TBK Esports,chamber,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,TBK Esports,fade,1,0,1
