Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,TBK Esports,omen,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,TBK Esports,breach,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Haven,TBK Esports,neon,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,Ninjas In Pyjamas,fade,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,Ninjas In Pyjamas,omen,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,Ninjas In Pyjamas,jett,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,Ninjas In Pyjamas,sova,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,Ninjas In Pyjamas,killjoy,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,9z Team,chamber,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,9z Team,fade,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,9z Team,kayo,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,9z Team,raze,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,9z Team,omen,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,KRÜ Esports,fade,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,KRÜ Esports,kayo,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,KRÜ Esports,omen,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,KRÜ Esports,jett,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,KRÜ Esports,killjoy,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,TBK Esports,omen,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,TBK Esports,jett,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,TBK Esports,sova,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,TBK Esports,sage,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,TBK Esports,killjoy,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,FUSION,chamber,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,FUSION,fade,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,FUSION,kayo,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,FUSION,omen,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,FUSION,jett,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,FURIA,kayo,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,FURIA,omen,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,FURIA,jett,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,FURIA,sova,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ascent,FURIA,killjoy,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,Ninjas In Pyjamas,chamber,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,Ninjas In Pyjamas,fade,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,Ninjas In Pyjamas,kayo,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,Ninjas In Pyjamas,brimstone,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,Ninjas In Pyjamas,neon,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,9z Team,chamber,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,9z Team,raze,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,9z Team,breach,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,9z Team,brimstone,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,9z Team,sage,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,FUSION,chamber,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,FUSION,raze,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,FUSION,breach,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,FUSION,brimstone,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,FUSION,sage,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,FURIA,chamber,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,FURIA,breach,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,FURIA,brimstone,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,FURIA,sage,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,FURIA,neon,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,Keyd Stars,chamber,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,Keyd Stars,raze,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,Keyd Stars,breach,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,Keyd Stars,brimstone,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,Keyd Stars,sage,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,E-Xolos LAZER,chamber,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,E-Xolos LAZER,fade,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,E-Xolos LAZER,raze,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,E-Xolos LAZER,breach,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Fracture,E-Xolos LAZER,brimstone,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Breeze,KRÜ Esports,chamber,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Breeze,KRÜ Esports,kayo,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Breeze,KRÜ Esports,jett,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Breeze,KRÜ Esports,sova,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Breeze,KRÜ Esports,viper,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Breeze,TBK Esports,chamber,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Breeze,TBK Esports,kayo,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Breeze,TBK Esports,jett,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Breeze,TBK Esports,sova,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Breeze,TBK Esports,viper,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,Keyd Stars,chamber,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,Keyd Stars,raze,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,Keyd Stars,brimstone,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,Keyd Stars,viper,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,Keyd Stars,skye,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,E-Xolos LAZER,chamber,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,E-Xolos LAZER,fade,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,E-Xolos LAZER,kayo,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,E-Xolos LAZER,raze,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Bind,E-Xolos LAZER,astra,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Ascent,9z Team,kayo,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Ascent,9z Team,sova,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Ascent,9z Team,jett,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Ascent,9z Team,killjoy,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Ascent,9z Team,omen,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Ascent,FURIA,kayo,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Ascent,FURIA,sova,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Ascent,FURIA,jett,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Ascent,FURIA,killjoy,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Ascent,FURIA,omen,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Bind,9z Team,chamber,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Bind,9z Team,brimstone,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Bind,9z Team,raze,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Bind,9z Team,viper,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Bind,9z Team,skye,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Bind,FURIA,chamber,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Bind,FURIA,brimstone,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Bind,FURIA,raze,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Bind,FURIA,skye,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Bind,FURIA,fade,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Breeze,KRÜ Esports,chamber,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Breeze,KRÜ Esports,kayo,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Breeze,KRÜ Esports,sova,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Breeze,KRÜ Esports,jett,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Breeze,KRÜ Esports,viper,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Breeze,Keyd Stars,chamber,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Breeze,Keyd Stars,sova,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Breeze,Keyd Stars,jett,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Breeze,Keyd Stars,viper,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Breeze,Keyd Stars,skye,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,KRÜ Esports,chamber,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,KRÜ Esports,kayo,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,KRÜ Esports,brimstone,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,KRÜ Esports,breach,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,KRÜ Esports,neon,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,Keyd Stars,chamber,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,Keyd Stars,brimstone,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,Keyd Stars,raze,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,Keyd Stars,breach,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,Fracture,Keyd Stars,sage,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Breeze,FURIA,kayo,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Breeze,FURIA,sova,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Breeze,FURIA,viper,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Breeze,FURIA,chamber,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Breeze,FURIA,jett,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Breeze,KRÜ Esports,kayo,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Breeze,KRÜ Esports,sova,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Breeze,KRÜ Esports,viper,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Breeze,KRÜ Esports,chamber,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Breeze,KRÜ Esports,jett,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Ascent,FURIA,kayo,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Ascent,FURIA,sova,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Ascent,FURIA,jett,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Ascent,FURIA,killjoy,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Ascent,FURIA,omen,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Ascent,KRÜ Esports,kayo,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Ascent,KRÜ Esports,jett,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Ascent,KRÜ Esports,killjoy,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Ascent,KRÜ Esports,omen,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Ascent,KRÜ Esports,fade,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Icebox,FURIA,sova,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Icebox,FURIA,viper,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Icebox,FURIA,chamber,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Icebox,FURIA,killjoy,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Icebox,FURIA,sage,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Icebox,KRÜ Esports,kayo,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Icebox,KRÜ Esports,sova,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Icebox,KRÜ Esports,viper,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Icebox,KRÜ Esports,chamber,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,Icebox,KRÜ Esports,sage,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Breeze,Ninjas In Pyjamas,chamber,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Breeze,Ninjas In Pyjamas,kayo,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Breeze,Ninjas In Pyjamas,viper,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Breeze,Ninjas In Pyjamas,jett,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Breeze,Ninjas In Pyjamas,sova,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Breeze,FUSION,chamber,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Breeze,FUSION,kayo,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Breeze,FUSION,viper,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Breeze,FUSION,jett,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Breeze,FUSION,sova,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Icebox,Ninjas In Pyjamas,chamber,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Icebox,Ninjas In Pyjamas,kayo,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Icebox,Ninjas In Pyjamas,viper,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Icebox,Ninjas In Pyjamas,fade,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Icebox,Ninjas In Pyjamas,sage,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Icebox,FUSION,chamber,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Icebox,FUSION,kayo,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Icebox,FUSION,viper,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Icebox,FUSION,jett,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Icebox,FUSION,sova,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Fracture,TBK Esports,chamber,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Fracture,TBK Esports,viper,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Fracture,TBK Esports,raze,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Fracture,TBK Esports,breach,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Fracture,TBK Esports,astra,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Fracture,E-Xolos LAZER,chamber,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Fracture,E-Xolos LAZER,fade,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Fracture,E-Xolos LAZER,raze,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Fracture,E-Xolos LAZER,breach,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Fracture,E-Xolos LAZER,brimstone,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Haven,TBK Esports,chamber,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Haven,TBK Esports,fade,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Haven,TBK Esports,breach,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Haven,TBK Esports,omen,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Haven,TBK Esports,neon,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Haven,E-Xolos LAZER,chamber,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Haven,E-Xolos LAZER,kayo,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Haven,E-Xolos LAZER,fade,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Haven,E-Xolos LAZER,raze,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Haven,E-Xolos LAZER,omen,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Bind,TBK Esports,viper,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Bind,TBK Esports,fade,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Bind,TBK Esports,raze,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Bind,TBK Esports,astra,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Bind,TBK Esports,skye,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Bind,E-Xolos LAZER,chamber,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Bind,E-Xolos LAZER,kayo,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Bind,E-Xolos LAZER,fade,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Bind,E-Xolos LAZER,raze,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Bind,E-Xolos LAZER,astra,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Breeze,Keyd Stars,chamber,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Breeze,Keyd Stars,viper,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Breeze,Keyd Stars,kayo,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Breeze,Keyd Stars,sova,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Breeze,Keyd Stars,jett,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Breeze,Ninjas In Pyjamas,chamber,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Breeze,Ninjas In Pyjamas,viper,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Breeze,Ninjas In Pyjamas,kayo,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Breeze,Ninjas In Pyjamas,sova,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Breeze,Ninjas In Pyjamas,jett,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Ascent,Keyd Stars,chamber,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Ascent,Keyd Stars,fade,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Ascent,Keyd Stars,raze,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Ascent,Keyd Stars,kayo,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Ascent,Keyd Stars,omen,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Ascent,Ninjas In Pyjamas,fade,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Ascent,Ninjas In Pyjamas,sova,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Ascent,Ninjas In Pyjamas,jett,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Ascent,Ninjas In Pyjamas,omen,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Ascent,Ninjas In Pyjamas,killjoy,0,1,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Icebox,Keyd Stars,chamber,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Icebox,Keyd Stars,viper,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Icebox,Keyd Stars,raze,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Icebox,Keyd Stars,sova,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Icebox,Keyd Stars,sage,1,0,1
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Icebox,Ninjas In Pyjamas,chamber,0,1,1
