Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Haven,Team Liquid,Pistol Won,,0
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Haven,Team Liquid,Eco (won),4,0
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Haven,Team Liquid,$ (won),1,0
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Haven,Team Liquid,$$ (won),4,3
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Haven,Team Liquid,$$$ (won),14,7
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Ascent,Leviatán,Pistol Won,,2
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Ascent,Leviatán,Eco (won),2,2
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Ascent,Leviatán,$ (won),3,2
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Ascent,Leviatán,$$ (won),6,4
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Ascent,Leviatán,$$$ (won),12,5
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Ascent,Team Liquid,Pistol Won,,0
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Ascent,Team Liquid,Eco (won),3,0
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Ascent,Team Liquid,$ (won),4,1
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Ascent,Team Liquid,$$ (won),4,2
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Ascent,Team Liquid,$$$ (won),12,7
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,All Maps,Leviatán,Pistol Won,,4
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,All Maps,Leviatán,Eco (won),4,4
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,All Maps,Leviatán,$ (won),3,2
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,All Maps,Leviatán,$$ (won),13,9
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,All Maps,Leviatán,$$$ (won),26,11
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,All Maps,Team Liquid,Pistol Won,,0
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,All Maps,Team Liquid,Eco (won),7,0
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,All Maps,Team Liquid,$ (won),5,1
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,All Maps,Team Liquid,$$ (won),8,5
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,All Maps,Team Liquid,$$$ (won),26,14
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Ascent,ZETA DIVISION,Pistol Won,,1
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Ascent,ZETA DIVISION,Eco (won),3,1
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Ascent,ZETA DIVISION,$ (won),4,1
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Ascent,ZETA DIVISION,$$ (won),3,1
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Ascent,ZETA DIVISION,$$$ (won),11,5
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Ascent,LOUD,Pistol Won,,1
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Ascent,LOUD,Eco (won),2,1
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Ascent,LOUD,$ (won),1,0
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Ascent,LOUD,$$ (won),4,3
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Ascent,LOUD,$$$ (won),14,9
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Fracture,ZETA DIVISION,Pistol Won,,1
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Fracture,ZETA DIVISION,Eco (won),3,1
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Fracture,ZETA DIVISION,$ (won),1,0
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Fracture,ZETA DIVISION,$$ (won),4,2
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Fracture,ZETA DIVISION,$$$ (won),14,6
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Fracture,LOUD,Pistol Won,,1
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Fracture,LOUD,Eco (won),3,1
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Fracture,LOUD,$ (won),2,0
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Fracture,LOUD,$$ (won),4,2
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Fracture,LOUD,$$$ (won),13,10
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,All Maps,ZETA DIVISION,Pistol Won,,2
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,All Maps,ZETA DIVISION,Eco (won),6,2
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,All Maps,ZETA DIVISION,$ (won),5,1
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,All Maps,ZETA DIVISION,$$ (won),7,3
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,All Maps,ZETA DIVISION,$$$ (won),25,11
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,All Maps,LOUD,Pistol Won,,2
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,All Maps,LOUD,Eco (won),5,2
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,All Maps,LOUD,$ (won),3,0
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,All Maps,LOUD,$$ (won),8,5
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,All Maps,LOUD,$$$ (won),27,19
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Breeze,OpTic Gaming,Pistol Won,,2
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Breeze,OpTic Gaming,Eco (won),2,2
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Breeze,OpTic Gaming,$ (won),1,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Breeze,OpTic Gaming,$$ (won),7,4
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Breeze,OpTic Gaming,$$$ (won),24,10
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Breeze,BOOM Esports,Pistol Won,,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Breeze,BOOM Esports,Eco (won),4,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Breeze,BOOM Esports,$ (won),0,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Breeze,BOOM Esports,$$ (won),2,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Breeze,BOOM Esports,$$$ (won),28,18
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Bind,OpTic Gaming,Pistol Won,,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Bind,OpTic Gaming,Eco (won),3,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Bind,OpTic Gaming,$ (won),1,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Bind,OpTic Gaming,$$ (won),2,2
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Bind,OpTic Gaming,$$$ (won),12,9
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Bind,BOOM Esports,Pistol Won,,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Bind,BOOM Esports,Eco (won),3,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Bind,BOOM Esports,$ (won),1,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Bind,BOOM Esports,$$ (won),5,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Bind,BOOM Esports,$$$ (won),9,3
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Fracture,OpTic Gaming,Pistol Won,,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Fracture,OpTic Gaming,Eco (won),3,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Fracture,OpTic Gaming,$ (won),0,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Fracture,OpTic Gaming,$$ (won),2,2
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Fracture,OpTic Gaming,$$$ (won),11,10
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Fracture,BOOM Esports,Pistol Won,,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Fracture,BOOM Esports,Eco (won),3,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Fracture,BOOM Esports,$ (won),0,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Fracture,BOOM Esports,$$ (won),6,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Fracture,BOOM Esports,$$$ (won),7,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,All Maps,OpTic Gaming,Pistol Won,,4
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,All Maps,OpTic Gaming,Eco (won),8,4
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,All Maps,OpTic Gaming,$ (won),2,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,All Maps,OpTic Gaming,$$ (won),11,8
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,All Maps,OpTic Gaming,$$$ (won),47,29
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,All Maps,BOOM Esports,Pistol Won,,2
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,All Maps,BOOM Esports,Eco (won),10,2
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,All Maps,BOOM Esports,$ (won),1,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,All Maps,BOOM Esports,$$ (won),13,2
