Tournament,Stage,Match Type,Match Name,Map,Team,Player,Agents,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Econ,Spike Plants,Spike Defuses
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,All Maps,Paper Rex,Jinggg,"raze, reyna, sage",13,3,1,,,,,,,59,1,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,All Maps,Paper Rex,mindfreak,"astra, viper",4,1,2,,1,,,,1.0,48,2,1
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,All Maps,Paper Rex,f0rsakeN,"chamber, jett",9,4,1,,,,,,,56,3,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,All Maps,Paper Rex,Benkai,"cypher, fade",4,3,,,2,,,1,,47,4,3
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,All Maps,Paper Rex,d4v41,"chamber, sage, skye",5,3,,,1,1,,,,48,7,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,All Maps,EDward Gaming,nobody,"fade, sova",7,,1,1,,1,,,,48,4,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,All Maps,EDward Gaming,ZmjjKK,chamber,10,3,,,1,,,,,67,1,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,All Maps,EDward Gaming,Haodong,"astra, breach, viper",7,2,1,,,1,,,,60,3,2
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,All Maps,EDward Gaming,Smoggy,"jett, kayo",6,4,,,,,,,,60,5,1
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,All Maps,EDward Gaming,CHICHOO,"omen, sage, viper",8,2,,,,2,,,,59,9,1
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,Paper Rex,Jinggg,raze,4,1,,,,,,,,54,1,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,Paper Rex,mindfreak,astra,,,2,,,,,,1.0,49,1,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,Paper Rex,f0rsakeN,chamber,3,2,,,,,,,,59,2,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,Paper Rex,Benkai,fade,3,2,,,,,,,,68,2,1
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,Paper Rex,d4v41,sage,2,1,,,1,1,,,,55,3,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,EDward Gaming,nobody,fade,4,,1,,,,,,,51,0,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,EDward Gaming,ZmjjKK,chamber,1,2,,,,,,,,50,0,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,EDward Gaming,Haodong,astra,2,1,,,,1,,,,55,1,1
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,EDward Gaming,Smoggy,kayo,2,1,,,,,,,,48,4,1
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Pearl,EDward Gaming,CHICHOO,viper,3,2,,,,2,,,,72,1,1
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Icebox,Paper Rex,Jinggg,sage,1,1,,,,,,,,47,0,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Icebox,Paper Rex,mindfreak,viper,1,,,,,,,,,38,0,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Icebox,Paper Rex,f0rsakeN,jett,2,1,,,,,,,,52,1,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Icebox,Paper Rex,Benkai,fade,,,,,,,,,,41,1,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Icebox,Paper Rex,d4v41,chamber,3,1,,,,,,,,72,0,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Icebox,EDward Gaming,nobody,sova,1,,,1,,1,,,,55,1,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Icebox,EDward Gaming,ZmjjKK,chamber,4,,,,,,,,,88,0,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Icebox,EDward Gaming,Haodong,viper,3,1,1,,,,,,,83,0,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Icebox,EDward Gaming,Smoggy,jett,1,,,,,,,,,59,1,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Icebox,EDward Gaming,CHICHOO,sage,2,,,,,,,,,53,7,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Haven,Paper Rex,Jinggg,reyna,8,1,1,,,,,,,77,0,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Haven,Paper Rex,mindfreak,astra,3,1,,,1,,,,,56,1,1
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Haven,Paper Rex,f0rsakeN,jett,4,1,1,,,,,,,56,0,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Haven,Paper Rex,Benkai,cypher,1,1,,,2,,,1,,31,1,2
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Haven,Paper Rex,d4v41,skye,,1,,,,,,,,18,4,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Haven,EDward Gaming,nobody,fade,2,,,,,,,,,37,3,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Haven,EDward Gaming,ZmjjKK,chamber,5,1,,,1,,,,,64,1,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Haven,EDward Gaming,Haodong,breach,2,,,,,,,,,43,2,1
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Haven,EDward Gaming,Smoggy,jett,3,3,,,,,,,,73,0,0
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Haven,EDward Gaming,CHICHOO,omen,3,,,,,,,,,52,1,0
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,All Maps,Leviatán,Melser,"astra, omen",3,3,,,,,,,,49,4,2
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,All Maps,Leviatán,adverso,"breach, sova",3,1,,,,,,,,38,4,1
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,All Maps,Leviatán,Tacolilla,chamber,11,2,,,1,1,,,1.0,72,2,1
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,All Maps,Leviatán,kiNgg,"kayo, raze",6,2,,,,,,,,56,2,1
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,All Maps,Leviatán,Shyy,fade,5,1,1,,1,,,,,44,3,2
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,All Maps,Team Liquid,ScreaM,"phoenix, raze",5,3,1,,,,,,,55,0,1
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,All Maps,Team Liquid,soulcas,fade,3,1,,,,,,,,53,6,1
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,All Maps,Team Liquid,dimasick,omen,6,2,,,,,,,,49,3,0
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,All Maps,Team Liquid,Jamppi,chamber,4,2,1,,,,1,,,60,2,2
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,All Maps,Team Liquid,Nivera,"breach, kayo",6,,,,,,,,,39,4,0
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Haven,Leviatán,Melser,omen,2,3,,,,,,,,54,1,2
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Haven,Leviatán,adverso,breach,1,1,,,,,,,,32,1,1
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Haven,Leviatán,Tacolilla,chamber,5,,,,,,,,,64,2,0
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Haven,Leviatán,kiNgg,raze,4,1,,,,,,,,60,1,1
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Haven,Leviatán,Shyy,fade,2,1,,,1,,,,,33,2,1
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Haven,Team Liquid,ScreaM,raze,3,1,,,,,,,,50,0,0
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Haven,Team Liquid,soulcas,fade,2,,,,,,,,,60,4,1
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Haven,Team Liquid,dimasick,omen,3,,,,,,,,,34,1,0
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Haven,Team Liquid,Jamppi,chamber,2,2,,,,,1,,,64,1,1
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Haven,Team Liquid,Nivera,breach,3,,,,,,,,,38,3,0
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Ascent,Leviatán,Melser,astra,1,,,,,,,,,43,3,0
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Ascent,Leviatán,adverso,sova,2,,,,,,,,,44,3,0
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Ascent,Leviatán,Tacolilla,chamber,6,2,,,1,1,,,1.0,80,0,1
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Ascent,Leviatán,kiNgg,kayo,2,1,,,,,,,,51,1,0
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Ascent,Leviatán,Shyy,fade,3,,1,,,,,,,55,1,1
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Ascent,Team Liquid,ScreaM,phoenix,2,2,1,,,,,,,60,0,1
