Tournament,Stage,Match Type,Match Name,Map,Team,Player,Agents,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Econ,Spike Plants,Spike Defuses
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Ascent,Team Liquid,soulcas,fade,1,1,,,,,,,,46,2,0
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Ascent,Team Liquid,dimasick,omen,3,2,,,,,,,,63,2,0
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Ascent,Team Liquid,Jamppi,chamber,2,,1,,,,,,,56,1,1
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Ascent,Team Liquid,Nivera,kayo,3,,,,,,,,,40,1,0
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,All Maps,ZETA DIVISION,Dep,"jett, neon",4,2,,,,,,,,47,0,0
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,All Maps,ZETA DIVISION,Laz,"chamber, kayo",8,3,,,,2,,,,66,1,1
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,All Maps,ZETA DIVISION,crow,"breach, fade",4,,,,1,,,,,33,2,0
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,All Maps,ZETA DIVISION,TENNN,"killjoy, raze",4,1,,,,,,,,40,1,1
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,All Maps,ZETA DIVISION,SugarZ3ro,"astra, brimstone",2,3,,,1,,1,,,48,6,1
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,All Maps,LOUD,Sacy,"fade, sova",5,1,,,,,,,,51,8,3
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,All Maps,LOUD,pANcada,omen,10,2,,,,,,,,56,2,0
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,All Maps,LOUD,saadhak,"kayo, viper",7,4,1,,1,,,,,64,2,1
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,All Maps,LOUD,Less,"chamber, killjoy",10,3,1,,3,,,,,84,0,2
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,All Maps,LOUD,aspas,"jett, raze",6,,,,,,,,,41,0,1
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Ascent,ZETA DIVISION,Dep,jett,1,2,,,,,,,,49,0,0
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Ascent,ZETA DIVISION,Laz,kayo,4,,,,,1,,,,51,1,0
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Ascent,ZETA DIVISION,crow,fade,2,,,,,,,,,36,1,0
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Ascent,ZETA DIVISION,TENNN,killjoy,2,,,,,,,,,38,1,1
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Ascent,ZETA DIVISION,SugarZ3ro,astra,1,2,,,1,,1,,,45,0,0
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Ascent,LOUD,Sacy,sova,4,1,,,,,,,,62,3,1
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Ascent,LOUD,pANcada,omen,4,1,,,,,,,,56,2,0
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Ascent,LOUD,saadhak,kayo,3,1,,,,,,,,49,1,0
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Ascent,LOUD,Less,killjoy,5,3,,,2,,,,,90,0,1
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Ascent,LOUD,aspas,jett,4,,,,,,,,,37,0,0
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Fracture,ZETA DIVISION,Dep,neon,3,,,,,,,,,45,0,0
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Fracture,ZETA DIVISION,Laz,chamber,4,3,,,,1,,,,81,0,1
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Fracture,ZETA DIVISION,crow,breach,2,,,,1,,,,,30,1,0
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Fracture,ZETA DIVISION,TENNN,raze,2,1,,,,,,,,42,0,0
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Fracture,ZETA DIVISION,SugarZ3ro,brimstone,1,1,,,,,,,,50,6,1
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Fracture,LOUD,Sacy,fade,1,,,,,,,,,39,5,2
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Fracture,LOUD,pANcada,omen,6,1,,,,,,,,55,0,0
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Fracture,LOUD,saadhak,viper,4,3,1,,1,,,,,78,1,1
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Fracture,LOUD,Less,chamber,5,,1,,1,,,,,77,0,1
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,Fracture,LOUD,aspas,raze,2,,,,,,,,,44,0,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,All Maps,OpTic Gaming,crashies,"kayo, skye, sova",8,4,1,1,1,,,,,68,7,3
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,All Maps,OpTic Gaming,Victor,"jett, neon, raze",14,2,,,,1,,,,56,1,2
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,All Maps,OpTic Gaming,Marved,"brimstone, kayo",7,3,,,1,,,,,47,3,2
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,All Maps,OpTic Gaming,FiNESSE,"breach, viper",6,2,,,,,,,,43,4,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,All Maps,OpTic Gaming,yay,chamber,9,8,1,,,,1,,,83,2,5
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,All Maps,BOOM Esports,blaZek1ng,"brimstone, fade, sova",8,2,,,,,,,,48,1,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,All Maps,BOOM Esports,Famouz,"chamber, kayo, raze",6,,2,,,,,,,40,3,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,All Maps,BOOM Esports,xffero,"astra, breach, viper",15,2,1,,,,,,,52,14,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,All Maps,BOOM Esports,BerserX,"jett, neon, skye",4,,,,,,,,,35,1,2
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,All Maps,BOOM Esports,fl1pzjder,"chamber, kayo, viper",4,2,,,3,,,,,38,6,2
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Breeze,OpTic Gaming,crashies,sova,3,1,1,,,,,,,45,6,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Breeze,OpTic Gaming,Victor,jett,9,1,,,,,,,,48,0,2
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Breeze,OpTic Gaming,Marved,kayo,3,1,,,,,,,,36,3,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Breeze,OpTic Gaming,FiNESSE,viper,2,,,,,,,,,22,0,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Breeze,OpTic Gaming,yay,chamber,3,3,,,,,,,,41,1,2
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Breeze,BOOM Esports,blaZek1ng,sova,2,1,,,,,,,,37,0,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Breeze,BOOM Esports,Famouz,chamber,1,,1,,,,,,,39,0,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Breeze,BOOM Esports,xffero,viper,9,2,1,,,,,,,69,8,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Breeze,BOOM Esports,BerserX,jett,3,,,,,,,,,33,1,2
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Breeze,BOOM Esports,fl1pzjder,kayo,2,2,,,2,,,,,40,4,2
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Bind,OpTic Gaming,crashies,skye,5,1,,,1,,,,,73,1,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Bind,OpTic Gaming,Victor,raze,1,1,,,,1,,,,46,0,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Bind,OpTic Gaming,Marved,brimstone,2,2,,,,,,,,66,0,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Bind,OpTic Gaming,FiNESSE,viper,1,1,,,,,,,,52,2,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Bind,OpTic Gaming,yay,chamber,2,3,1,,,,,,,85,0,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Bind,BOOM Esports,blaZek1ng,fade,1,,,,,,,,,34,0,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Bind,BOOM Esports,Famouz,raze,5,,1,,,,,,,63,1,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Bind,BOOM Esports,xffero,astra,4,,,,,,,,,56,2,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Bind,BOOM Esports,BerserX,skye,,,,,,,,,,38,0,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Bind,BOOM Esports,fl1pzjder,viper,1,,,,1,,,,,37,1,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Fracture,OpTic Gaming,crashies,kayo,,2,,1,,,,,,87,0,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Fracture,OpTic Gaming,Victor,neon,4,,,,,,,,,74,1,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Fracture,OpTic Gaming,Marved,brimstone,2,,,,1,,,,,40,0,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Fracture,OpTic Gaming,FiNESSE,breach,3,1,,,,,,,,54,2,1
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Fracture,OpTic Gaming,yay,chamber,4,2,,,,,1,,,122,1,2
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Fracture,BOOM Esports,blaZek1ng,brimstone,5,1,,,,,,,,74,1,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Fracture,BOOM Esports,Famouz,kayo,,,,,,,,,,17,2,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Fracture,BOOM Esports,xffero,breach,2,,,,,,,,,32,4,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Fracture,BOOM Esports,BerserX,neon,1,,,,,,,,,33,0,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,Fracture,BOOM Esports,fl1pzjder,chamber,1,,,,,,,,,36,1,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,All Maps,Paper Rex,Jinggg,raze,5,1,1,,,,,,,45,1,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,All Maps,Paper Rex,mindfreak,"astra, brimstone",3,,1,,,1,,,,37,3,1
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,All Maps,Paper Rex,f0rsakeN,"chamber, yoru",5,3,,,,1,,,,47,3,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,All Maps,Paper Rex,Benkai,"breach, sage",5,1,,,,,,,,44,8,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,All Maps,Paper Rex,d4v41,fade,6,1,,,3,2,,,,53,4,3
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,All Maps,Leviatán,Melser,"brimstone, omen",4,3,1,,1,,,,,62,6,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,All Maps,Leviatán,adverso,"breach, viper",5,1,,1,,,,,,51,5,1
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,All Maps,Leviatán,Tacolilla,"chamber, skye",6,3,,,,,1,,,56,3,3
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,All Maps,Leviatán,kiNgg,raze,4,5,1,,,,,,,58,0,1
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,All Maps,Leviatán,Shyy,fade,8,3,1,1,1,,1,,,71,3,2
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Haven,Paper Rex,Jinggg,raze,2,,,,,,,,,43,1,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Haven,Paper Rex,mindfreak,astra,1,,1,,,,,,,41,2,1
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Haven,Paper Rex,f0rsakeN,chamber,3,,,,,1,,,,52,1,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Haven,Paper Rex,Benkai,sage,3,1,,,,,,,,45,3,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Haven,Paper Rex,d4v41,fade,3,,,,1,1,,,,36,1,1
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Haven,Leviatán,Melser,omen,2,2,,,1,,,,,75,2,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Haven,Leviatán,adverso,breach,2,1,,1,,,,,,57,4,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Haven,Leviatán,Tacolilla,chamber,4,2,,,,,,,,74,1,2
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Haven,Leviatán,kiNgg,raze,1,2,,,,,,,,46,0,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Haven,Leviatán,Shyy,fade,4,1,,,,,,,,60,2,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Bind,Paper Rex,Jinggg,raze,3,1,1,,,,,,,47,0,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Bind,Paper Rex,mindfreak,brimstone,2,,,,,1,,,,33,1,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Bind,Paper Rex,f0rsakeN,yoru,2,3,,,,,,,,41,2,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Bind,Paper Rex,Benkai,breach,2,,,,,,,,,43,5,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Bind,Paper Rex,d4v41,fade,3,1,,,2,1,,,,70,3,2
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Bind,Leviatán,Melser,brimstone,2,1,1,,,,,,,48,4,0
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Bind,Leviatán,adverso,viper,3,,,,,,,,,44,1,1
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Bind,Leviatán,Tacolilla,skye,2,1,,,,,1,,,38,2,1
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Bind,Leviatán,kiNgg,raze,3,3,1,,,,,,,70,0,1
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Bind,Leviatán,Shyy,fade,4,2,1,1,1,,1,,,82,1,2
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,All Maps,DRX,stax,"breach, fade",7,3,,,1,,,,,45,7,2
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,All Maps,DRX,Rb,"kayo, killjoy",6,2,1,,1,,,,,64,2,0
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,All Maps,DRX,Zest,"fade, sova",6,1,,,,1,,,,34,0,2
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,All Maps,DRX,BuZz,jett,13,1,1,,,1,,,,66,0,2
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,All Maps,DRX,MaKo,"astra, omen",6,2,,,1,,,,,60,2,0
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,All Maps,FURIA,nzr,"fade, sova",7,,,,1,,,,,40,4,0
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,All Maps,FURIA,Quick,"killjoy, raze",4,1,1,,,1,,,,38,1,0
